GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200006,32,201935,James Harden,1610612745,Houston Rockets,1,8,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,110,154,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,42,201935,James Harden,1610612745,Houston Rockets,1,7,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,4,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,63,201935,James Harden,1610612745,Houston Rockets,1,5,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,4,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,124,201935,James Harden,1610612745,Houston Rockets,2,11,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,89,247,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,126,201935,James Harden,1610612745,Houston Rockets,2,10,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,167,201935,James Harden,1610612745,Houston Rockets,2,7,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,187,201935,James Harden,1610612745,Houston Rockets,2,5,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,197,201935,James Harden,1610612745,Houston Rockets,2,5,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,45,181,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,263,201935,James Harden,1610612745,Houston Rockets,3,11,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,284,201935,James Harden,1610612745,Houston Rockets,3,9,1,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,344,201935,James Harden,1610612745,Houston Rockets,3,3,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,28,263,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,371,201935,James Harden,1610612745,Houston Rockets,3,1,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,244,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,404,201935,James Harden,1610612745,Houston Rockets,4,10,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-116,241,1,1,20121031,DET,HOU
Shot Chart Detail,0021200006,486,201935,James Harden,1610612745,Houston Rockets,4,1,27,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20121031,DET,HOU
Shot Chart Detail,0021200018,44,201935,James Harden,1610612745,Houston Rockets,1,7,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-95,178,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,47,201935,James Harden,1610612745,Houston Rockets,1,7,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,89,201935,James Harden,1610612745,Houston Rockets,1,3,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,6,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,92,201935,James Harden,1610612745,Houston Rockets,1,2,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,149,149,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,188,201935,James Harden,1610612745,Houston Rockets,2,6,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,11,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,252,201935,James Harden,1610612745,Houston Rockets,2,2,24,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,255,201935,James Harden,1610612745,Houston Rockets,2,1,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,174,192,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,304,201935,James Harden,1610612745,Houston Rockets,3,9,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,306,201935,James Harden,1610612745,Houston Rockets,3,9,0,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,329,201935,James Harden,1610612745,Houston Rockets,3,7,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,209,164,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,375,201935,James Harden,1610612745,Houston Rockets,3,2,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,480,201935,James Harden,1610612745,Houston Rockets,4,5,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,0,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,495,201935,James Harden,1610612745,Houston Rockets,4,3,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-62,159,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200018,502,201935,James Harden,1610612745,Houston Rockets,4,3,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,3,1,1,20121102,ATL,HOU
Shot Chart Detail,0021200032,4,201935,James Harden,1610612745,Houston Rockets,1,11,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20121103,HOU,POR
Shot Chart Detail,0021200032,13,201935,James Harden,1610612745,Houston Rockets,1,10,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,4,1,1,20121103,HOU,POR
Shot Chart Detail,0021200032,56,201935,James Harden,1610612745,Houston Rockets,1,6,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20121103,HOU,POR
Shot Chart Detail,0021200032,73,201935,James Harden,1610612745,Houston Rockets,1,3,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,187,99,1,1,20121103,HOU,POR
Shot Chart Detail,0021200032,187,201935,James Harden,1610612745,Houston Rockets,2,5,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,209,145,1,1,20121103,HOU,POR
Shot Chart Detail,0021200032,199,201935,James Harden,1610612745,Houston Rockets,2,3,51,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-48,220,1,1,20121103,HOU,POR
Shot Chart Detail,0021200032,328,201935,James Harden,1610612745,Houston Rockets,3,4,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,1,20121103,HOU,POR
Shot Chart Detail,0021200032,435,201935,James Harden,1610612745,Houston Rockets,4,7,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,15,1,1,20121103,HOU,POR
Shot Chart Detail,0021200059,49,201935,James Harden,1610612745,Houston Rockets,1,7,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,-10,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,252,201935,James Harden,1610612745,Houston Rockets,2,3,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-6,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,528,201935,James Harden,1610612745,Houston Rockets,4,6,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,558,201935,James Harden,1610612745,Houston Rockets,4,3,44,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,34,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200059,576,201935,James Harden,1610612745,Houston Rockets,4,2,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20121107,HOU,DEN
Shot Chart Detail,0021200073,54,201935,James Harden,1610612745,Houston Rockets,1,5,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,3,1,1,20121109,MEM,HOU
Shot Chart Detail,0021200073,182,201935,James Harden,1610612745,Houston Rockets,2,4,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20121109,MEM,HOU
Shot Chart Detail,0021200073,406,201935,James Harden,1610612745,Houston Rockets,4,7,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-146,195,1,1,20121109,MEM,HOU
Shot Chart Detail,0021200073,445,201935,James Harden,1610612745,Houston Rockets,4,3,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20121109,MEM,HOU
Shot Chart Detail,0021200085,99,201935,James Harden,1610612745,Houston Rockets,1,2,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20121110,HOU,DET
Shot Chart Detail,0021200085,200,201935,James Harden,1610612745,Houston Rockets,2,4,6,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-2,1,1,20121110,HOU,DET
Shot Chart Detail,0021200085,207,201935,James Harden,1610612745,Houston Rockets,2,3,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,1,1,1,20121110,HOU,DET
Shot Chart Detail,0021200085,284,201935,James Harden,1610612745,Houston Rockets,3,7,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,0,1,1,20121110,HOU,DET
Shot Chart Detail,0021200085,304,201935,James Harden,1610612745,Houston Rockets,3,4,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,9,1,1,20121110,HOU,DET
Shot Chart Detail,0021200085,317,201935,James Harden,1610612745,Houston Rockets,3,3,46,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,171,190,1,1,20121110,HOU,DET
Shot Chart Detail,0021200099,75,201935,James Harden,1610612745,Houston Rockets,1,3,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,157,-2,1,1,20121112,HOU,MIA
Shot Chart Detail,0021200099,112,201935,James Harden,1610612745,Houston Rockets,1,1,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,17,1,1,20121112,HOU,MIA
Shot Chart Detail,0021200099,129,201935,James Harden,1610612745,Houston Rockets,1,0,0,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-24,246,1,1,20121112,HOU,MIA
Shot Chart Detail,0021200099,155,201935,James Harden,1610612745,Houston Rockets,2,10,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,187,119,1,1,20121112,HOU,MIA
Shot Chart Detail,0021200099,390,201935,James Harden,1610612745,Houston Rockets,3,4,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,1,20121112,HOU,MIA
Shot Chart Detail,0021200099,423,201935,James Harden,1610612745,Houston Rockets,3,1,19,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,6,72,1,1,20121112,HOU,MIA
Shot Chart Detail,0021200112,47,201935,James Harden,1610612745,Houston Rockets,1,6,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-30,244,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,51,201935,James Harden,1610612745,Houston Rockets,1,5,31,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,9,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,80,201935,James Harden,1610612745,Houston Rockets,1,3,34,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,116,201935,James Harden,1610612745,Houston Rockets,1,0,41,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,26,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,211,201935,James Harden,1610612745,Houston Rockets,2,4,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,215,201935,James Harden,1610612745,Houston Rockets,2,4,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,253,201935,James Harden,1610612745,Houston Rockets,2,1,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,317,201935,James Harden,1610612745,Houston Rockets,3,8,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,0,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,447,201935,James Harden,1610612745,Houston Rockets,4,8,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,19,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,505,201935,James Harden,1610612745,Houston Rockets,4,4,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,174,140,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200129,24,201935,James Harden,1610612745,Houston Rockets,1,9,52,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,-5,1,1,20121116,POR,HOU
Shot Chart Detail,0021200129,88,201935,James Harden,1610612745,Houston Rockets,1,2,11,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,56,1,1,20121116,POR,HOU
Shot Chart Detail,0021200129,173,201935,James Harden,1610612745,Houston Rockets,2,6,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-34,249,1,1,20121116,POR,HOU
Shot Chart Detail,0021200129,182,201935,James Harden,1610612745,Houston Rockets,2,5,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,65,6,1,1,20121116,POR,HOU
Shot Chart Detail,0021200129,290,201935,James Harden,1610612745,Houston Rockets,3,8,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,1,20121116,POR,HOU
Shot Chart Detail,0021200129,450,201935,James Harden,1610612745,Houston Rockets,4,5,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-87,22,1,1,20121116,POR,HOU
Shot Chart Detail,0021200129,501,201935,James Harden,1610612745,Houston Rockets,4,1,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,121,219,1,1,20121116,POR,HOU
Shot Chart Detail,0021200129,536,201935,James Harden,1610612745,Houston Rockets,5,3,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-6,1,1,20121116,POR,HOU
Shot Chart Detail,0021200146,22,201935,James Harden,1610612745,Houston Rockets,1,9,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,24,276,1,1,20121118,LAL,HOU
Shot Chart Detail,0021200146,118,201935,James Harden,1610612745,Houston Rockets,2,11,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,138,96,1,1,20121118,LAL,HOU
Shot Chart Detail,0021200146,123,201935,James Harden,1610612745,Houston Rockets,2,10,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,17,1,1,20121118,LAL,HOU
Shot Chart Detail,0021200146,201,201935,James Harden,1610612745,Houston Rockets,2,3,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-90,230,1,1,20121118,LAL,HOU
Shot Chart Detail,0021200146,227,201935,James Harden,1610612745,Houston Rockets,2,0,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,0,1,1,20121118,LAL,HOU
Shot Chart Detail,0021200146,315,201935,James Harden,1610612745,Houston Rockets,3,6,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,15,277,1,1,20121118,LAL,HOU
Shot Chart Detail,0021200146,330,201935,James Harden,1610612745,Houston Rockets,3,4,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-109,72,1,1,20121118,LAL,HOU
Shot Chart Detail,0021200153,233,201935,James Harden,1610612745,Houston Rockets,2,1,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,217,1,1,20121119,UTA,HOU
Shot Chart Detail,0021200165,57,201935,James Harden,1610612745,Houston Rockets,1,5,30,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,20,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200165,69,201935,James Harden,1610612745,Houston Rockets,1,3,44,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,73,67,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200165,75,201935,James Harden,1610612745,Houston Rockets,1,2,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200165,116,201935,James Harden,1610612745,Houston Rockets,2,10,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,212,145,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200165,215,201935,James Harden,1610612745,Houston Rockets,2,1,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-168,200,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200165,220,201935,James Harden,1610612745,Houston Rockets,2,0,33,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,32,195,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200165,239,201935,James Harden,1610612745,Houston Rockets,3,10,39,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,166,181,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200165,488,201935,James Harden,1610612745,Houston Rockets,4,3,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,9,1,1,20121121,HOU,CHI
Shot Chart Detail,0021200178,36,201935,James Harden,1610612745,Houston Rockets,1,8,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,97,224,1,1,20121123,HOU,NYK
Shot Chart Detail,0021200178,188,201935,James Harden,1610612745,Houston Rockets,2,8,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20121123,HOU,NYK
Shot Chart Detail,0021200178,254,201935,James Harden,1610612745,Houston Rockets,2,2,47,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,136,140,1,1,20121123,HOU,NYK
Shot Chart Detail,0021200178,264,201935,James Harden,1610612745,Houston Rockets,2,1,40,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-175,178,1,1,20121123,HOU,NYK
Shot Chart Detail,0021200178,303,201935,James Harden,1610612745,Houston Rockets,3,9,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,9,1,1,20121123,HOU,NYK
Shot Chart Detail,0021200178,457,201935,James Harden,1610612745,Houston Rockets,4,7,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,193,156,1,1,20121123,HOU,NYK
Shot Chart Detail,0021200178,471,201935,James Harden,1610612745,Houston Rockets,4,6,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,1,20121123,HOU,NYK
Shot Chart Detail,0021200206,21,201935,James Harden,1610612745,Houston Rockets,1,9,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,17,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,59,201935,James Harden,1610612745,Houston Rockets,1,5,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,23,162,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,88,201935,James Harden,1610612745,Houston Rockets,1,2,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,220,201935,James Harden,1610612745,Houston Rockets,2,0,32,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-144,214,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,228,201935,James Harden,1610612745,Houston Rockets,3,11,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,179,179,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,246,201935,James Harden,1610612745,Houston Rockets,3,9,24,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-5,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,253,201935,James Harden,1610612745,Houston Rockets,3,8,58,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-32,246,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,267,201935,James Harden,1610612745,Houston Rockets,3,7,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-16,252,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200206,401,201935,James Harden,1610612745,Houston Rockets,4,7,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20121127,HOU,TOR
Shot Chart Detail,0021200218,287,201935,James Harden,1610612745,Houston Rockets,3,11,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,-2,1,1,20121128,OKC,HOU
Shot Chart Detail,0021200218,466,201935,James Harden,1610612745,Houston Rockets,4,7,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,170,178,1,1,20121128,OKC,HOU
Shot Chart Detail,0021200218,528,201935,James Harden,1610612745,Houston Rockets,4,3,27,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,187,1,1,20121128,OKC,HOU
Shot Chart Detail,0021200237,52,201935,James Harden,1610612745,Houston Rockets,1,4,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,1,20121201,HOU,UTA
Shot Chart Detail,0021200237,102,201935,James Harden,1610612745,Houston Rockets,1,0,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,19,1,1,20121201,HOU,UTA
Shot Chart Detail,0021200237,197,201935,James Harden,1610612745,Houston Rockets,2,4,15,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20121201,HOU,UTA
Shot Chart Detail,0021200237,241,201935,James Harden,1610612745,Houston Rockets,2,0,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20121201,HOU,UTA
Shot Chart Detail,0021200237,288,201935,James Harden,1610612745,Houston Rockets,3,8,1,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,42,1,1,20121201,HOU,UTA
Shot Chart Detail,0021200237,311,201935,James Harden,1610612745,Houston Rockets,3,5,29,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,47,75,1,1,20121201,HOU,UTA
Shot Chart Detail,0021200237,471,201935,James Harden,1610612745,Houston Rockets,4,3,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,11,1,1,20121201,HOU,UTA
Shot Chart Detail,0021200256,48,201935,James Harden,1610612745,Houston Rockets,1,7,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-87,149,1,1,20121204,HOU,LAL
Shot Chart Detail,0021200256,316,201935,James Harden,1610612745,Houston Rockets,3,9,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,22,1,1,20121204,HOU,LAL
Shot Chart Detail,0021200256,506,201935,James Harden,1610612745,Houston Rockets,4,5,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,4,1,1,20121204,HOU,LAL
Shot Chart Detail,0021200278,38,201935,James Harden,1610612745,Houston Rockets,1,7,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,111,146,1,1,20121207,SAS,HOU
