GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200008,109,201583,Ryan Anderson,1610612740,New Orleans Hornets,1,0,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,44,1,1,20121031,NOH,SAS
Shot Chart Detail,0021200008,394,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,1,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,110,183,1,1,20121031,NOH,SAS
Shot Chart Detail,0021200008,408,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,0,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,159,1,1,20121031,NOH,SAS
Shot Chart Detail,0021200021,75,201583,Ryan Anderson,1610612740,New Orleans Hornets,1,2,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,110,230,1,1,20121102,NOH,UTA
Shot Chart Detail,0021200021,111,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,10,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-5,249,1,1,20121102,NOH,UTA
Shot Chart Detail,0021200021,124,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,8,39,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,65,247,1,1,20121102,NOH,UTA
Shot Chart Detail,0021200021,141,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,6,28,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,1,1,1,20121102,NOH,UTA
Shot Chart Detail,0021200021,239,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,9,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,162,190,1,1,20121102,NOH,UTA
Shot Chart Detail,0021200021,443,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,6,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,14,1,1,20121102,NOH,UTA
Shot Chart Detail,0021200021,513,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,0,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,3,1,1,20121102,NOH,UTA
Shot Chart Detail,0021200031,56,201583,Ryan Anderson,1610612740,New Orleans Hornets,1,6,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,122,86,1,1,20121103,CHI,NOH
Shot Chart Detail,0021200031,67,201583,Ryan Anderson,1610612740,New Orleans Hornets,1,4,37,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-8,66,1,1,20121103,CHI,NOH
Shot Chart Detail,0021200031,112,201583,Ryan Anderson,1610612740,New Orleans Hornets,1,0,23,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,11,1,1,20121103,CHI,NOH
Shot Chart Detail,0021200031,148,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,9,17,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,1,1,1,20121103,CHI,NOH
Shot Chart Detail,0021200031,350,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,3,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,7,1,1,20121103,CHI,NOH
Shot Chart Detail,0021200058,177,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,4,26,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-175,1,1,1,20121107,NOH,PHI
Shot Chart Detail,0021200058,270,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,7,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-210,-11,1,1,20121107,NOH,PHI
Shot Chart Detail,0021200058,300,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,4,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-193,170,1,1,20121107,NOH,PHI
Shot Chart Detail,0021200074,163,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,7,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,165,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,6,30,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-10,58,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,168,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,5,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,10,239,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,176,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,5,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,170,172,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,326,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,3,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,30,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,353,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,1,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,47,217,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,393,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,9,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-75,186,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,404,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,8,9,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,410,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,7,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,144,211,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200074,439,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,4,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,226,93,1,1,20121109,NOH,CHA
Shot Chart Detail,0021200112,86,201583,Ryan Anderson,1610612740,New Orleans Hornets,1,2,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,140,206,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,132,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,11,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-64,168,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,161,201583,Ryan Anderson,1610612740,New Orleans Hornets,2,8,17,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,386,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,2,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,395,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,2,21,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,9,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,414,201583,Ryan Anderson,1610612740,New Orleans Hornets,3,0,44,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,425,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,11,39,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-116,-13,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,493,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,5,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-144,235,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200112,529,201583,Ryan Anderson,1610612740,New Orleans Hornets,4,2,24,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20121114,HOU,NOH
Shot Chart Detail,0021200125,81,201583,Ryan Anderson,1610612740,New Orleans Hornets,1,2,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20121116,NOH,OKC
