GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400009,191,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,9,28,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,7,146,1,1,20241115,IND,MIA
Shot Chart Detail,0022400009,196,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,8,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,29,1,1,20241115,IND,MIA
Shot Chart Detail,0022400009,251,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,5,6,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-53,78,1,1,20241115,IND,MIA
Shot Chart Detail,0022400009,264,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,3,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-11,269,1,1,20241115,IND,MIA
Shot Chart Detail,0022400009,491,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,11,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,29,1,1,20241115,IND,MIA
Shot Chart Detail,0022400009,511,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,8,59,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,16,1,1,20241115,IND,MIA
Shot Chart Detail,0022400029,136,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,1,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,180,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,11,2,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,65,130,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,184,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,10,38,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,158,221,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,196,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,9,40,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,12,135,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,337,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,11,42,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,360,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,9,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,469,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,1,52,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-38,137,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,479,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,0,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,1,20241122,MIL,IND
Shot Chart Detail,0022400029,603,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,4,52,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20241122,MIL,IND
Shot Chart Detail,0022400045,38,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,8,19,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-31,78,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,262,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,4,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,113,251,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,295,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,1,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,22,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,329,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,11,43,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-54,41,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,344,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,9,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,17,148,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,348,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,8,39,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,123,52,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,456,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,0,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,50,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,518,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,7,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,19,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,547,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,5,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,7,69,1,1,20241129,IND,DET
Shot Chart Detail,0022400054,75,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,5,55,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,7,1,1,20241203,TOR,IND
Shot Chart Detail,0022400054,306,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,1,53,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,118,75,1,1,20241203,TOR,IND
Shot Chart Detail,0022400054,404,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,6,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,178,183,1,1,20241203,TOR,IND
Shot Chart Detail,0022400054,555,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,9,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,4,1,1,20241203,TOR,IND
Shot Chart Detail,0022400063,54,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,7,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,17,1,1,20241023,DET,IND
Shot Chart Detail,0022400063,94,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,5,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,152,205,1,1,20241023,DET,IND
Shot Chart Detail,0022400063,312,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,3,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,1,1,1,20241023,DET,IND
Shot Chart Detail,0022400063,391,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,9,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,9,1,1,20241023,DET,IND
Shot Chart Detail,0022400063,410,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,7,18,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,21,1,1,20241023,DET,IND
Shot Chart Detail,0022400063,453,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,4,15,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,18,43,1,1,20241023,DET,IND
Shot Chart Detail,0022400063,653,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,3,41,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-141,62,1,1,20241023,DET,IND
Shot Chart Detail,0022400063,660,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,2,29,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20241023,DET,IND
Shot Chart Detail,0022400081,23,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,10,7,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,39,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,8,19,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-77,64,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,260,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,3,16,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,17,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,270,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,2,7,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-61,75,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,294,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,0,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-5,1,1,20241025,NYK,IND
Shot Chart Detail,0022400097,18,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,10,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,18,1,1,20241027,IND,PHI
Shot Chart Detail,0022400097,323,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,3,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-72,257,1,1,20241027,IND,PHI
Shot Chart Detail,0022400097,348,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,1,12,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,23,1,1,20241027,IND,PHI
Shot Chart Detail,0022400097,390,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,10,26,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,38,1,1,20241027,IND,PHI
Shot Chart Detail,0022400097,403,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,9,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,9,1,1,20241027,IND,PHI
Shot Chart Detail,0022400097,550,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,10,53,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-214,129,1,1,20241027,IND,PHI
Shot Chart Detail,0022400097,559,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,9,47,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,49,43,1,1,20241027,IND,PHI
Shot Chart Detail,0022400102,32,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,8,45,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,70,108,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,36,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,8,9,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-60,56,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,208,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,8,21,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,20,58,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,247,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,6,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,25,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,376,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,8,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,17,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,386,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,7,28,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,18,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,413,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,6,7,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-2,115,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,418,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,5,27,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,27,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,599,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,8,30,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-115,27,1,1,20241028,ORL,IND
Shot Chart Detail,0022400102,664,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,4,17,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-23,83,1,1,20241028,ORL,IND
Shot Chart Detail,0022400119,37,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,9,15,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,-19,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,40,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,8,49,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-58,110,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,44,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,8,26,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,57,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,166,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,1,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,137,212,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,198,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,11,6,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-222,118,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,291,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,4,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-31,252,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,330,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,2,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,15,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,375,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,11,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-229,74,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,378,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,10,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-91,235,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,784,1627783,Pascal Siakam,1610612754,Indiana Pacers,5,0,36,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,49,93,1,1,20241030,IND,BOS
Shot Chart Detail,0022400119,800,1627783,Pascal Siakam,1610612754,Indiana Pacers,5,0,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-16,251,1,1,20241030,IND,BOS
Shot Chart Detail,0022400138,12,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,10,55,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-8,94,1,1,20241101,NOP,IND
Shot Chart Detail,0022400138,42,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,7,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-103,251,1,1,20241101,NOP,IND
Shot Chart Detail,0022400138,193,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,8,49,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,7,1,1,20241101,NOP,IND
Shot Chart Detail,0022400138,270,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,2,55,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241101,NOP,IND
Shot Chart Detail,0022400138,301,1627783,Pascal Siakam,1610612754,Indiana Pacers,2,0,6,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,1,20241101,NOP,IND
Shot Chart Detail,0022400138,386,1627783,Pascal Siakam,1610612754,Indiana Pacers,3,6,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-37,171,1,1,20241101,NOP,IND
Shot Chart Detail,0022400138,554,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,7,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,1,1,1,20241101,NOP,IND
Shot Chart Detail,0022400165,11,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,11,13,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,17,1,1,20241104,DAL,IND
Shot Chart Detail,0022400165,45,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,8,21,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20241104,DAL,IND
Shot Chart Detail,0022400165,136,1627783,Pascal Siakam,1610612754,Indiana Pacers,1,1,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-54,270,1,1,20241104,DAL,IND
