GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400004,39,1628384,OG Anunoby,1610612752,New York Knicks,1,7,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-148,47,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,56,1628384,OG Anunoby,1610612752,New York Knicks,1,6,47,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,84,1628384,OG Anunoby,1610612752,New York Knicks,1,4,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,10,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,161,1628384,OG Anunoby,1610612752,New York Knicks,2,11,30,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-34,39,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,285,1628384,OG Anunoby,1610612752,New York Knicks,2,4,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-170,217,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,365,1628384,OG Anunoby,1610612752,New York Knicks,3,10,25,Made Shot,Running Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,377,1628384,OG Anunoby,1610612752,New York Knicks,3,9,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-181,166,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,549,1628384,OG Anunoby,1610612752,New York Knicks,4,10,37,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,8,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,573,1628384,OG Anunoby,1610612752,New York Knicks,4,8,41,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,0,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,590,1628384,OG Anunoby,1610612752,New York Knicks,4,7,30,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400004,674,1628384,OG Anunoby,1610612752,New York Knicks,4,0,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,1,20241112,PHI,NYK
Shot Chart Detail,0022400014,7,1628384,OG Anunoby,1610612752,New York Knicks,1,11,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,73,1628384,OG Anunoby,1610612752,New York Knicks,1,5,2,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,114,1628384,OG Anunoby,1610612752,New York Knicks,1,0,54,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,123,1628384,OG Anunoby,1610612752,New York Knicks,1,0,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,10,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,232,1628384,OG Anunoby,1610612752,New York Knicks,2,4,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,334,1628384,OG Anunoby,1610612752,New York Knicks,3,9,14,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,-4,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,385,1628384,OG Anunoby,1610612752,New York Knicks,3,5,47,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,30,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,402,1628384,OG Anunoby,1610612752,New York Knicks,3,4,26,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,406,1628384,OG Anunoby,1610612752,New York Knicks,3,3,59,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400014,575,1628384,OG Anunoby,1610612752,New York Knicks,4,5,37,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,86,30,1,1,20241115,NYK,BKN
Shot Chart Detail,0022400040,40,1628384,OG Anunoby,1610612752,New York Knicks,1,7,12,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20241129,CHA,NYK
Shot Chart Detail,0022400040,207,1628384,OG Anunoby,1610612752,New York Knicks,2,7,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,1,20241129,CHA,NYK
Shot Chart Detail,0022400040,366,1628384,OG Anunoby,1610612752,New York Knicks,3,6,49,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,15,1,1,20241129,CHA,NYK
Shot Chart Detail,0022400053,54,1628384,OG Anunoby,1610612752,New York Knicks,1,6,25,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,32,1,1,20241203,NYK,ORL
Shot Chart Detail,0022400053,84,1628384,OG Anunoby,1610612752,New York Knicks,1,4,6,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,8,1,1,20241203,NYK,ORL
Shot Chart Detail,0022400053,262,1628384,OG Anunoby,1610612752,New York Knicks,2,3,1,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,10,1,1,20241203,NYK,ORL
Shot Chart Detail,0022400053,293,1628384,OG Anunoby,1610612752,New York Knicks,2,1,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,11,1,1,20241203,NYK,ORL
Shot Chart Detail,0022400053,341,1628384,OG Anunoby,1610612752,New York Knicks,3,10,17,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,20,1,1,20241203,NYK,ORL
Shot Chart Detail,0022400053,397,1628384,OG Anunoby,1610612752,New York Knicks,3,6,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,3,1,1,20241203,NYK,ORL
Shot Chart Detail,0022400053,587,1628384,OG Anunoby,1610612752,New York Knicks,4,6,6,Made Shot,Running Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20241203,NYK,ORL
Shot Chart Detail,0022400061,9,1628384,OG Anunoby,1610612752,New York Knicks,1,11,27,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,46,1,1,20241022,BOS,NYK
Shot Chart Detail,0022400081,22,1628384,OG Anunoby,1610612752,New York Knicks,1,10,22,Made Shot,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,25,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,121,1628384,OG Anunoby,1610612752,New York Knicks,1,1,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,212,142,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,215,1628384,OG Anunoby,1610612752,New York Knicks,2,7,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,269,1628384,OG Anunoby,1610612752,New York Knicks,2,2,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,15,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,337,1628384,OG Anunoby,1610612752,New York Knicks,3,8,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,1,20241025,NYK,IND
Shot Chart Detail,0022400081,468,1628384,OG Anunoby,1610612752,New York Knicks,4,11,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,20241025,NYK,IND
Shot Chart Detail,0022400106,12,1628384,OG Anunoby,1610612752,New York Knicks,1,10,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-61,17,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,56,1628384,OG Anunoby,1610612752,New York Knicks,1,6,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,173,1628384,OG Anunoby,1610612752,New York Knicks,2,11,38,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,91,108,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,394,1628384,OG Anunoby,1610612752,New York Knicks,3,6,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,15,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,416,1628384,OG Anunoby,1610612752,New York Knicks,3,4,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,172,181,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,507,1628384,OG Anunoby,1610612752,New York Knicks,4,10,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,131,59,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,677,1628384,OG Anunoby,1610612752,New York Knicks,4,0,9,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400122,57,1628384,OG Anunoby,1610612752,New York Knicks,1,6,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,15,263,1,1,20241030,MIA,NYK
Shot Chart Detail,0022400122,333,1628384,OG Anunoby,1610612752,New York Knicks,3,11,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,157,205,1,1,20241030,MIA,NYK
Shot Chart Detail,0022400122,385,1628384,OG Anunoby,1610612752,New York Knicks,3,6,7,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-100,232,1,1,20241030,MIA,NYK
Shot Chart Detail,0022400134,25,1628384,OG Anunoby,1610612752,New York Knicks,1,9,51,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20241101,DET,NYK
Shot Chart Detail,0022400134,41,1628384,OG Anunoby,1610612752,New York Knicks,1,8,13,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,190,182,1,1,20241101,DET,NYK
Shot Chart Detail,0022400134,53,1628384,OG Anunoby,1610612752,New York Knicks,1,7,14,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,1,20241101,DET,NYK
Shot Chart Detail,0022400134,64,1628384,OG Anunoby,1610612752,New York Knicks,1,6,3,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-73,90,1,1,20241101,DET,NYK
Shot Chart Detail,0022400134,297,1628384,OG Anunoby,1610612752,New York Knicks,2,0,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,8,1,1,20241101,DET,NYK
Shot Chart Detail,0022400134,363,1628384,OG Anunoby,1610612752,New York Knicks,3,7,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,10,1,1,20241101,DET,NYK
Shot Chart Detail,0022400134,389,1628384,OG Anunoby,1610612752,New York Knicks,3,4,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-25,256,1,1,20241101,DET,NYK
Shot Chart Detail,0022400134,483,1628384,OG Anunoby,1610612752,New York Knicks,4,9,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,43,1,1,20241101,DET,NYK
Shot Chart Detail,0022400161,50,1628384,OG Anunoby,1610612752,New York Knicks,1,7,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-228,119,1,1,20241104,HOU,NYK
Shot Chart Detail,0022400161,119,1628384,OG Anunoby,1610612752,New York Knicks,1,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-222,148,1,1,20241104,HOU,NYK
Shot Chart Detail,0022400161,252,1628384,OG Anunoby,1610612752,New York Knicks,2,4,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,9,1,1,20241104,HOU,NYK
Shot Chart Detail,0022400161,294,1628384,OG Anunoby,1610612752,New York Knicks,2,2,3,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,68,1,1,20241104,HOU,NYK
Shot Chart Detail,0022400161,314,1628384,OG Anunoby,1610612752,New York Knicks,2,0,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,16,1,1,20241104,HOU,NYK
Shot Chart Detail,0022400161,441,1628384,OG Anunoby,1610612752,New York Knicks,3,3,9,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-115,37,1,1,20241104,HOU,NYK
Shot Chart Detail,0022400161,497,1628384,OG Anunoby,1610612752,New York Knicks,4,11,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,207,162,1,1,20241104,HOU,NYK
Shot Chart Detail,0022400171,215,1628384,OG Anunoby,1610612752,New York Knicks,2,7,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,59,1,1,20241106,ATL,NYK
Shot Chart Detail,0022400171,224,1628384,OG Anunoby,1610612752,New York Knicks,2,7,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-181,174,1,1,20241106,ATL,NYK
Shot Chart Detail,0022400171,330,1628384,OG Anunoby,1610612752,New York Knicks,3,10,49,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,60,1,1,20241106,ATL,NYK
Shot Chart Detail,0022400171,334,1628384,OG Anunoby,1610612752,New York Knicks,3,10,24,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-13,1,1,20241106,ATL,NYK
Shot Chart Detail,0022400171,372,1628384,OG Anunoby,1610612752,New York Knicks,3,7,9,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20241106,ATL,NYK
Shot Chart Detail,0022400189,73,1628384,OG Anunoby,1610612752,New York Knicks,1,6,38,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-9,1,1,20241108,NYK,MIL
Shot Chart Detail,0022400189,213,1628384,OG Anunoby,1610612752,New York Knicks,2,7,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-224,127,1,1,20241108,NYK,MIL
Shot Chart Detail,0022400189,507,1628384,OG Anunoby,1610612752,New York Knicks,4,8,38,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20241108,NYK,MIL
Shot Chart Detail,0022400189,561,1628384,OG Anunoby,1610612752,New York Knicks,4,5,53,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,6,1,1,20241108,NYK,MIL
Shot Chart Detail,0022400203,23,1628384,OG Anunoby,1610612752,New York Knicks,1,10,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,209,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,50,1628384,OG Anunoby,1610612752,New York Knicks,1,7,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,98,1628384,OG Anunoby,1610612752,New York Knicks,1,4,27,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,184,1628384,OG Anunoby,1610612752,New York Knicks,2,10,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-4,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,188,1628384,OG Anunoby,1610612752,New York Knicks,2,9,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,29,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,238,1628384,OG Anunoby,1610612752,New York Knicks,2,6,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-59,256,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,310,1628384,OG Anunoby,1610612752,New York Knicks,2,1,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,121,148,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,472,1628384,OG Anunoby,1610612752,New York Knicks,3,1,55,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241110,IND,NYK
Shot Chart Detail,0022400203,586,1628384,OG Anunoby,1610612752,New York Knicks,4,5,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20241110,IND,NYK
Shot Chart Detail,0022400219,82,1628384,OG Anunoby,1610612752,New York Knicks,1,4,49,Made Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,1,1,1,20241113,NYK,CHI
Shot Chart Detail,0022400219,425,1628384,OG Anunoby,1610612752,New York Knicks,3,5,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-21,253,1,1,20241113,NYK,CHI
Shot Chart Detail,0022400219,590,1628384,OG Anunoby,1610612752,New York Knicks,4,4,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20241113,NYK,CHI
Shot Chart Detail,0022400219,606,1628384,OG Anunoby,1610612752,New York Knicks,4,3,51,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20241113,NYK,CHI
Shot Chart Detail,0022400219,628,1628384,OG Anunoby,1610612752,New York Knicks,4,1,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20241113,NYK,CHI
Shot Chart Detail,0022400240,70,1628384,OG Anunoby,1610612752,New York Knicks,1,6,6,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,6,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,106,1628384,OG Anunoby,1610612752,New York Knicks,1,4,21,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,237,94,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,149,1628384,OG Anunoby,1610612752,New York Knicks,1,1,31,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-3,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,153,1628384,OG Anunoby,1610612752,New York Knicks,1,1,0,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,231,1628384,OG Anunoby,1610612752,New York Knicks,2,7,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-224,123,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,270,1628384,OG Anunoby,1610612752,New York Knicks,2,4,17,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,65,248,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,291,1628384,OG Anunoby,1610612752,New York Knicks,2,1,32,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,67,200,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,330,1628384,OG Anunoby,1610612752,New York Knicks,3,10,52,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400240,593,1628384,OG Anunoby,1610612752,New York Knicks,4,4,49,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20241117,NYK,BKN
Shot Chart Detail,0022400246,9,1628384,OG Anunoby,1610612752,New York Knicks,1,11,23,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,6,1,1,20241118,NYK,WAS
Shot Chart Detail,0022400246,100,1628384,OG Anunoby,1610612752,New York Knicks,1,3,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,119,196,1,1,20241118,NYK,WAS
Shot Chart Detail,0022400246,104,1628384,OG Anunoby,1610612752,New York Knicks,1,3,11,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20241118,NYK,WAS
Shot Chart Detail,0022400246,341,1628384,OG Anunoby,1610612752,New York Knicks,3,8,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20241118,NYK,WAS
Shot Chart Detail,0022400246,351,1628384,OG Anunoby,1610612752,New York Knicks,3,8,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-134,210,1,1,20241118,NYK,WAS
Shot Chart Detail,0022400246,355,1628384,OG Anunoby,1610612752,New York Knicks,3,7,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20241118,NYK,WAS
