GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400013,7,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,11,42,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,67,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,6,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,186,99,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,86,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,5,7,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,11,247,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,92,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,4,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,166,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,103,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,2,57,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,31,298,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,303,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,2,31,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,21,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,447,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,4,47,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,23,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,594,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,7,30,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,20,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400013,606,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,6,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-51,157,1,1,20241115,CLE,CHI
Shot Chart Detail,0022400021,77,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,5,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,4,104,1,1,20241119,BOS,CLE
Shot Chart Detail,0022400021,342,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,6,56,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,103,80,1,1,20241119,BOS,CLE
Shot Chart Detail,0022400021,533,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,5,6,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,61,125,1,1,20241119,BOS,CLE
Shot Chart Detail,0022400041,26,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,10,23,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-127,157,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,38,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,9,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-141,226,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,41,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,9,22,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-16,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,101,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,4,58,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,271,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,5,25,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-23,55,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,326,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,0,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,222,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,330,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,0,32,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,49,278,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,357,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,10,44,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,221,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,545,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,9,26,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-91,93,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,548,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,9,0,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-21,106,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400041,622,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,4,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,0,1,1,20241129,ATL,CLE
Shot Chart Detail,0022400051,53,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,7,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,16,1,1,20241203,CLE,WAS
Shot Chart Detail,0022400051,267,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,5,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-45,272,1,1,20241203,CLE,WAS
Shot Chart Detail,0022400051,270,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,5,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20241203,CLE,WAS
Shot Chart Detail,0022400051,364,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,11,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,58,61,1,1,20241203,CLE,WAS
Shot Chart Detail,0022400067,92,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,5,21,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-107,239,1,1,20241023,TOR,CLE
Shot Chart Detail,0022400067,369,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,11,20,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,103,-2,1,1,20241023,TOR,CLE
Shot Chart Detail,0022400067,418,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,7,28,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,34,1,1,20241023,TOR,CLE
Shot Chart Detail,0022400080,11,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,11,15,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,-10,1,1,20241025,CLE,DET
Shot Chart Detail,0022400080,26,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,9,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,12,1,1,20241025,CLE,DET
Shot Chart Detail,0022400080,35,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,8,39,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-6,1,1,20241025,CLE,DET
Shot Chart Detail,0022400080,435,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,3,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20241025,CLE,DET
Shot Chart Detail,0022400080,610,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,5,2,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,6,1,1,20241025,CLE,DET
Shot Chart Detail,0022400090,17,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,11,11,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-75,94,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,29,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,9,45,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,129,258,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,53,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,7,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-105,254,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,74,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,6,28,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-201,107,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,308,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,2,44,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,78,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,401,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,8,15,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,221,129,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,432,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,6,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,-5,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,472,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,4,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,5,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400090,489,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,3,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,87,241,1,1,20241026,WAS,CLE
Shot Chart Detail,0022400106,7,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,11,42,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,27,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,46,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,7,38,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-42,258,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,65,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,5,55,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,48,89,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,258,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,4,48,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,11,85,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,287,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,2,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-194,169,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,418,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,4,18,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,15,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,427,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,3,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,554,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,6,34,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,5,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,564,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,5,56,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-61,30,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,592,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,4,27,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-142,201,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,601,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,3,51,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,58,268,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400106,614,1629636,Darius Garland,1610612739,Cleveland Cavaliers,4,2,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,5,1,1,20241028,NYK,CLE
Shot Chart Detail,0022400118,126,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,1,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,1,1,1,20241030,CLE,LAL
Shot Chart Detail,0022400118,135,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,0,32,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-107,224,1,1,20241030,CLE,LAL
Shot Chart Detail,0022400118,162,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,11,2,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,86,64,1,1,20241030,CLE,LAL
Shot Chart Detail,0022400118,420,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,4,39,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20241030,CLE,LAL
Shot Chart Detail,0022400118,477,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,0,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-113,237,1,1,20241030,CLE,LAL
Shot Chart Detail,0022400133,226,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,6,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-222,137,1,1,20241101,CLE,ORL
Shot Chart Detail,0022400133,264,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,3,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,69,84,1,1,20241101,CLE,ORL
Shot Chart Detail,0022400133,282,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,2,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-83,168,1,1,20241101,CLE,ORL
