GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900004,21,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,10,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900004,28,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,9,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,116,25,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900004,110,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,2,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,146,78,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900004,270,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,0,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,129,20,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900004,292,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,10,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900004,295,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,9,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,1,168,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900004,318,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,7,57,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900004,526,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,2,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,99,71,1,1,20091027,LAL,LAC
Shot Chart Detail,0020900016,2,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,11,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,42,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,7,0,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,65,47,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,300,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,7,57,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,316,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,5,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,56,183,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,319,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,4,49,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,325,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,3,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,124,14,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,406,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,9,23,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-21,64,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,486,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,4,1,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,490,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,3,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,103,107,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,498,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,1,52,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900029,10,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,11,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,-19,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,32,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,27,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,0,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,55,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,6,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,-21,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,273,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,1,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,157,-21,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,275,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,0,59,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,61,66,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,310,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,9,20,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,26,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,372,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,2,19,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-109,1,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900029,471,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,5,4,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-127,28,1,1,20091030,UTA,LAC
Shot Chart Detail,0020900038,29,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,9,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-164,-2,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,34,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,173,66,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,37,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,7,53,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,47,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,44,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,7,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-147,44,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,109,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,2,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,159,7,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,234,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,5,5,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-136,12,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,283,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,0,35,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,287,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,0,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,332,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,8,36,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,53,101,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,391,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,2,26,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,34,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,438,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,10,13,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,88,9,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900038,487,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,4,42,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,15,1,1,20091031,LAC,DAL
Shot Chart Detail,0020900050,7,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,11,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,10,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,10,38,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,77,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,28,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,18,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-65,131,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,49,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,5,26,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,26,48,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,190,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,6,12,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,34,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,195,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,5,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,230,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,3,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,111,37,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,352,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,3,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,394,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,10,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,29,184,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900050,449,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,4,52,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091102,LAC,MIN
Shot Chart Detail,0020900082,2,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,11,46,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,95,162,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,23,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,10,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,27,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,9,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,205,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,5,34,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,26,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,240,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,3,1,Made Shot,Jump Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,17,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,278,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,11,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,6,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,282,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,11,12,Made Shot,Jump Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,81,37,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,285,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,10,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,170,50,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900082,326,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,6,50,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,36,1,1,20091106,GSW,LAC
Shot Chart Detail,0020900091,15,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,10,15,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-109,15,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900091,43,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,6,47,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,31,63,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900091,61,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,5,14,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,42,36,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900091,252,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,1,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900091,284,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,11,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,176,17,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900091,359,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,5,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,89,123,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900091,367,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,5,7,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,33,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900091,431,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,10,24,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-114,12,1,1,20091107,LAC,MEM
Shot Chart Detail,0020900102,13,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,10,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,103,159,1,1,20091109,LAC,NOH
Shot Chart Detail,0020900102,25,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,127,132,1,1,20091109,LAC,NOH
Shot Chart Detail,0020900102,65,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,3,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091109,LAC,NOH
Shot Chart Detail,0020900102,72,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,2,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,160,4,1,1,20091109,LAC,NOH
Shot Chart Detail,0020900102,97,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,11,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-117,-3,1,1,20091109,LAC,NOH
Shot Chart Detail,0020900102,237,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,10,1,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091109,LAC,NOH
Shot Chart Detail,0020900120,40,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,108,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,11,17,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-79,22,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,143,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,7,52,Made Shot,Running Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,194,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,2,35,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-95,23,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,222,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,0,28,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,71,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,248,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,9,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,133,112,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,296,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,5,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,402,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,7,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,440,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,3,19,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-24,63,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900132,19,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,56,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,121,127,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,22,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,38,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,6,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,46,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,6,3,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,14,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,177,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,5,35,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,114,9,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,288,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,8,30,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,22,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,310,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,5,58,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,12,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,338,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,2,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,15,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,342,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,1,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,60,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900132,402,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,8,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091113,LAC,TOR
Shot Chart Detail,0020900144,30,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,8,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,94,91,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,49,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,6,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,144,15,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,75,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,5,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,78,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,4,29,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-117,23,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,238,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,3,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,121,25,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,378,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,3,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,106,77,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,400,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,1,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,50,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,402,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,0,36,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,12,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,511,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,4,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-103,7,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900144,531,2549,Chris Kaman,1610612746,Los Angeles Clippers,4,1,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091115,OKC,LAC
Shot Chart Detail,0020900153,24,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,9,4,Made Shot,Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,99,19,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900153,82,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,3,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900153,194,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,6,18,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,9,78,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900153,212,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,5,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,176,22,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900153,239,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,2,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,149,28,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900153,269,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,10,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,94,143,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900153,321,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,5,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900153,331,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,4,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091117,NOH,LAC
Shot Chart Detail,0020900164,6,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,10,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,106,118,1,1,20091118,MEM,LAC
Shot Chart Detail,0020900164,10,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,9,52,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091118,MEM,LAC
Shot Chart Detail,0020900164,18,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,9,8,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,69,6,1,1,20091118,MEM,LAC
Shot Chart Detail,0020900164,28,2549,Chris Kaman,1610612746,Los Angeles Clippers,1,7,4,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-19,42,1,1,20091118,MEM,LAC
Shot Chart Detail,0020900164,197,2549,Chris Kaman,1610612746,Los Angeles Clippers,2,4,33,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091118,MEM,LAC
Shot Chart Detail,0020900164,302,2549,Chris Kaman,1610612746,Los Angeles Clippers,3,7,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-134,15,1,1,20091118,MEM,LAC
