GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900012,7,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,10,52,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,48,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,6,19,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-10,50,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,77,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,3,38,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,113,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,0,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,192,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,4,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-157,189,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,274,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,0,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,295,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,10,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-171,110,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,365,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,3,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-146,50,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,382,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,1,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,92,179,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900012,517,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,OKC,SAC
Shot Chart Detail,0020900023,5,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,10,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,102,146,1,1,20091030,DET,OKC
Shot Chart Detail,0020900023,44,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,6,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-19,173,1,1,20091030,DET,OKC
Shot Chart Detail,0020900023,103,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,0,4,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-2,82,1,1,20091030,DET,OKC
Shot Chart Detail,0020900023,122,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,11,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,121,53,1,1,20091030,DET,OKC
Shot Chart Detail,0020900023,276,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,9,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,159,31,1,1,20091030,DET,OKC
Shot Chart Detail,0020900023,406,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,9,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,DET,OKC
Shot Chart Detail,0020900023,436,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,7,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,94,91,1,1,20091030,DET,OKC
Shot Chart Detail,0020900023,506,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,1,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,181,195,1,1,20091030,DET,OKC
Shot Chart Detail,0020900042,78,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,3,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,83,3,1,1,20091101,OKC,POR
Shot Chart Detail,0020900042,122,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,10,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,OKC,POR
Shot Chart Detail,0020900042,270,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,8,36,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,OKC,POR
Shot Chart Detail,0020900057,42,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,6,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,122,129,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,94,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,1,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-147,134,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,96,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,1,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,116,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,11,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-15,56,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,120,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,11,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,130,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,9,36,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,247,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,10,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-82,153,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,257,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,8,44,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,333,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,1,32,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,37,134,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900057,341,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,0,38,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,31,1,1,20091103,OKC,LAL
Shot Chart Detail,0020900081,16,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,9,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-76,140,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,26,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,7,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-11,246,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,98,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,2,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-106,89,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,104,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,0,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,168,143,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,133,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,11,19,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-70,96,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,264,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,9,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,279,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,6,46,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-32,110,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,327,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,1,41,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,360,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,11,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,149,134,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,368,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,10,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,4,228,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900081,404,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,7,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091106,HOU,OKC
Shot Chart Detail,0020900094,5,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,11,2,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,37,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,198,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,9,28,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,0,96,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,205,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,7,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,89,-2,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,214,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,6,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,88,228,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,242,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,3,50,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,270,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,1,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-4,151,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,285,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,10,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,53,236,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,367,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,1,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,132,118,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,459,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,6,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,470,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,5,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900094,474,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,4,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091108,OKC,ORL
Shot Chart Detail,0020900108,3,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,11,47,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,220,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,2,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-128,110,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,248,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,0,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,314,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,7,9,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-11,137,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,341,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,5,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,28,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,394,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,1,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,152,143,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,457,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,8,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,37,178,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,462,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,8,17,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900108,585,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-144,208,1,1,20091110,SAC,OKC
Shot Chart Detail,0020900120,10,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,10,49,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,47,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,7,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,79,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,3,28,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,70,134,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,105,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,11,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,39,258,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,184,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,4,19,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,45,60,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,213,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,1,17,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,48,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,249,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,9,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-182,104,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,254,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,8,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-21,189,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,292,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,6,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,136,112,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,324,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,3,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,333,201142,Kevin Durant,1610612760,Oklahoma City Thunder,3,1,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900120,478,201142,Kevin Durant,1610612760,Oklahoma City Thunder,4,0,38,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-133,60,1,1,20091111,LAC,OKC
Shot Chart Detail,0020900142,57,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,6,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,1,20091114,SAS,OKC
Shot Chart Detail,0020900142,130,201142,Kevin Durant,1610612760,Oklahoma City Thunder,1,0,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20091114,SAS,OKC
Shot Chart Detail,0020900142,149,201142,Kevin Durant,1610612760,Oklahoma City Thunder,2,11,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-114,148,1,1,20091114,SAS,OKC
