GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900007,59,2547,Chris Bosh,1610612761,Toronto Raptors,1,7,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-142,75,1,1,20091028,TOR,CLE
Shot Chart Detail,0020900007,72,2547,Chris Bosh,1610612761,Toronto Raptors,1,6,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-71,149,1,1,20091028,TOR,CLE
Shot Chart Detail,0020900007,131,2547,Chris Bosh,1610612761,Toronto Raptors,1,2,2,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,TOR,CLE
Shot Chart Detail,0020900007,457,2547,Chris Bosh,1610612761,Toronto Raptors,3,2,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,TOR,CLE
Shot Chart Detail,0020900007,517,2547,Chris Bosh,1610612761,Toronto Raptors,4,8,47,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,TOR,CLE
Shot Chart Detail,0020900007,544,2547,Chris Bosh,1610612761,Toronto Raptors,4,5,51,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-133,58,1,1,20091028,TOR,CLE
Shot Chart Detail,0020900025,7,2547,Chris Bosh,1610612761,Toronto Raptors,1,11,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,92,2547,Chris Bosh,1610612761,Toronto Raptors,1,2,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,96,2547,Chris Bosh,1610612761,Toronto Raptors,1,1,24,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,122,2547,Chris Bosh,1610612761,Toronto Raptors,2,11,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,139,2547,Chris Bosh,1610612761,Toronto Raptors,2,10,14,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,30,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,146,2547,Chris Bosh,1610612761,Toronto Raptors,2,9,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,152,2547,Chris Bosh,1610612761,Toronto Raptors,2,8,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,18,249,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,159,2547,Chris Bosh,1610612761,Toronto Raptors,2,8,10,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-98,6,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,208,2547,Chris Bosh,1610612761,Toronto Raptors,2,3,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,306,2547,Chris Bosh,1610612761,Toronto Raptors,3,7,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-75,39,1,1,20091030,MEM,TOR
