GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100012,76,1733,Al Harrington,1610612743,Denver Nuggets,1,3,38,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-3,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,109,1733,Al Harrington,1610612743,Denver Nuggets,1,0,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,218,145,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,114,1733,Al Harrington,1610612743,Denver Nuggets,1,0,0,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-2,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,120,1733,Al Harrington,1610612743,Denver Nuggets,2,11,39,Made Shot,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,125,1733,Al Harrington,1610612743,Denver Nuggets,2,10,15,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-3,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,221,1733,Al Harrington,1610612743,Denver Nuggets,2,1,10,Made Shot,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,389,1733,Al Harrington,1610612743,Denver Nuggets,4,11,37,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-10,88,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100030,126,1733,Al Harrington,1610612743,Denver Nuggets,1,1,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,12,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,203,1733,Al Harrington,1610612743,Denver Nuggets,2,7,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,226,20,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,205,1733,Al Harrington,1610612743,Denver Nuggets,2,7,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,7,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,380,1733,Al Harrington,1610612743,Denver Nuggets,3,2,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,15,271,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,391,1733,Al Harrington,1610612743,Denver Nuggets,3,1,36,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-138,60,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,393,1733,Al Harrington,1610612743,Denver Nuggets,3,1,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,3,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,416,1733,Al Harrington,1610612743,Denver Nuggets,4,10,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,7,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,441,1733,Al Harrington,1610612743,Denver Nuggets,4,9,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100037,119,1733,Al Harrington,1610612743,Denver Nuggets,1,1,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20111229,POR,DEN
Shot Chart Detail,0021100037,151,1733,Al Harrington,1610612743,Denver Nuggets,2,11,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,1,1,1,20111229,POR,DEN
Shot Chart Detail,0021100037,311,1733,Al Harrington,1610612743,Denver Nuggets,2,0,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20111229,POR,DEN
