GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500008,35,2210,Richard Jefferson,1610612751,New Jersey Nets,1,8,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,NJN,MIL
Shot Chart Detail,0020500008,90,2210,Richard Jefferson,1610612751,New Jersey Nets,1,4,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,NJN,MIL
Shot Chart Detail,0020500008,221,2210,Richard Jefferson,1610612751,New Jersey Nets,2,2,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-199,-14,1,1,20051102,NJN,MIL
Shot Chart Detail,0020500008,246,2210,Richard Jefferson,1610612751,New Jersey Nets,2,0,36,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,NJN,MIL
Shot Chart Detail,0020500008,420,2210,Richard Jefferson,1610612751,New Jersey Nets,4,6,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,NJN,MIL
Shot Chart Detail,0020500020,4,2210,Richard Jefferson,1610612751,New Jersey Nets,1,11,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,0,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,53,2210,Richard Jefferson,1610612751,New Jersey Nets,1,5,42,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,61,2210,Richard Jefferson,1610612751,New Jersey Nets,1,5,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-169,0,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,93,2210,Richard Jefferson,1610612751,New Jersey Nets,1,2,15,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,71,132,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,103,2210,Richard Jefferson,1610612751,New Jersey Nets,1,0,40,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-1,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,299,2210,Richard Jefferson,1610612751,New Jersey Nets,3,6,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-97,183,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,431,2210,Richard Jefferson,1610612751,New Jersey Nets,4,6,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-94,230,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,446,2210,Richard Jefferson,1610612751,New Jersey Nets,4,4,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-1,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500020,474,2210,Richard Jefferson,1610612751,New Jersey Nets,4,2,27,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,12,1,1,20051104,TOR,NJN
Shot Chart Detail,0020500032,35,2210,Richard Jefferson,1610612751,New Jersey Nets,1,8,37,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,67,2210,Richard Jefferson,1610612751,New Jersey Nets,1,4,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,242,2210,Richard Jefferson,1610612751,New Jersey Nets,2,2,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,278,2210,Richard Jefferson,1610612751,New Jersey Nets,3,10,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,197,-3,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,330,2210,Richard Jefferson,1610612751,New Jersey Nets,3,4,11,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,367,2210,Richard Jefferson,1610612751,New Jersey Nets,3,0,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,380,2210,Richard Jefferson,1610612751,New Jersey Nets,4,11,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,458,2210,Richard Jefferson,1610612751,New Jersey Nets,4,4,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
Shot Chart Detail,0020500032,508,2210,Richard Jefferson,1610612751,New Jersey Nets,4,0,22,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,NJN,CHI
