GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022300012,93,1629012,Collin Sexton,1610612762,Utah Jazz,1,4,25,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20231110,MEM,UTA
Shot Chart Detail,0022300012,168,1629012,Collin Sexton,1610612762,Utah Jazz,2,10,46,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,54,22,1,1,20231110,MEM,UTA
Shot Chart Detail,0022300012,174,1629012,Collin Sexton,1610612762,Utah Jazz,2,10,26,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,17,1,1,20231110,MEM,UTA
Shot Chart Detail,0022300023,139,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,58,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-21,59,1,1,20231114,UTA,POR
Shot Chart Detail,0022300023,166,1629012,Collin Sexton,1610612762,Utah Jazz,1,0,2,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,1,1,1,20231114,UTA,POR
Shot Chart Detail,0022300023,178,1629012,Collin Sexton,1610612762,Utah Jazz,2,11,19,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,53,1,1,20231114,UTA,POR
Shot Chart Detail,0022300023,197,1629012,Collin Sexton,1610612762,Utah Jazz,2,9,21,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,23,20,1,1,20231114,UTA,POR
Shot Chart Detail,0022300023,466,1629012,Collin Sexton,1610612762,Utah Jazz,3,0,32,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,83,243,1,1,20231114,UTA,POR
Shot Chart Detail,0022300035,107,1629012,Collin Sexton,1610612762,Utah Jazz,1,3,25,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-157,83,1,1,20231117,UTA,PHX
Shot Chart Detail,0022300035,142,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,30,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,15,1,1,20231117,UTA,PHX
Shot Chart Detail,0022300035,189,1629012,Collin Sexton,1610612762,Utah Jazz,2,10,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-6,176,1,1,20231117,UTA,PHX
Shot Chart Detail,0022300042,120,1629012,Collin Sexton,1610612762,Utah Jazz,1,3,39,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,28,113,1,1,20231121,LAL,UTA
Shot Chart Detail,0022300042,179,1629012,Collin Sexton,1610612762,Utah Jazz,2,11,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-118,230,1,1,20231121,LAL,UTA
Shot Chart Detail,0022300042,203,1629012,Collin Sexton,1610612762,Utah Jazz,2,9,17,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,64,1,1,20231121,LAL,UTA
Shot Chart Detail,0022300042,467,1629012,Collin Sexton,1610612762,Utah Jazz,3,1,22,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20231121,LAL,UTA
Shot Chart Detail,0022300042,479,1629012,Collin Sexton,1610612762,Utah Jazz,3,0,42,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,67,258,1,1,20231121,LAL,UTA
Shot Chart Detail,0022300042,620,1629012,Collin Sexton,1610612762,Utah Jazz,4,1,29,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,-10,1,1,20231121,LAL,UTA
Shot Chart Detail,0022300072,92,1629012,Collin Sexton,1610612762,Utah Jazz,1,5,31,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,12,1,1,20231025,UTA,SAC
Shot Chart Detail,0022300072,331,1629012,Collin Sexton,1610612762,Utah Jazz,2,1,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,25,1,1,20231025,UTA,SAC
Shot Chart Detail,0022300085,138,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,13,1,1,20231027,UTA,LAC
Shot Chart Detail,0022300085,147,1629012,Collin Sexton,1610612762,Utah Jazz,1,0,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,67,1,1,20231027,UTA,LAC
Shot Chart Detail,0022300085,271,1629012,Collin Sexton,1610612762,Utah Jazz,2,4,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,9,1,1,20231027,UTA,LAC
Shot Chart Detail,0022300085,303,1629012,Collin Sexton,1610612762,Utah Jazz,2,1,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-1,171,1,1,20231027,UTA,LAC
Shot Chart Detail,0022300085,479,1629012,Collin Sexton,1610612762,Utah Jazz,3,1,1,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,31,1,1,20231027,UTA,LAC
Shot Chart Detail,0022300094,69,1629012,Collin Sexton,1610612762,Utah Jazz,1,5,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,1,20231028,PHX,UTA
Shot Chart Detail,0022300094,92,1629012,Collin Sexton,1610612762,Utah Jazz,1,4,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-6,1,1,20231028,PHX,UTA
Shot Chart Detail,0022300094,142,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,9,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20231028,PHX,UTA
Shot Chart Detail,0022300094,465,1629012,Collin Sexton,1610612762,Utah Jazz,3,3,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-1,1,1,20231028,PHX,UTA
Shot Chart Detail,0022300110,503,1629012,Collin Sexton,1610612762,Utah Jazz,3,1,34,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,5,1,1,20231030,DEN,UTA
Shot Chart Detail,0022300110,520,1629012,Collin Sexton,1610612762,Utah Jazz,4,11,43,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,21,1,1,20231030,DEN,UTA
Shot Chart Detail,0022300110,534,1629012,Collin Sexton,1610612762,Utah Jazz,4,9,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-17,1,1,20231030,DEN,UTA
Shot Chart Detail,0022300110,538,1629012,Collin Sexton,1610612762,Utah Jazz,4,9,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-77,243,1,1,20231030,DEN,UTA
Shot Chart Detail,0022300110,553,1629012,Collin Sexton,1610612762,Utah Jazz,4,8,6,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,6,1,1,20231030,DEN,UTA
Shot Chart Detail,0022300125,84,1629012,Collin Sexton,1610612762,Utah Jazz,1,5,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,213,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300125,128,1629012,Collin Sexton,1610612762,Utah Jazz,1,2,46,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-7,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300125,136,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,152,220,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300125,343,1629012,Collin Sexton,1610612762,Utah Jazz,2,1,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,-8,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300125,499,1629012,Collin Sexton,1610612762,Utah Jazz,3,2,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,20,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300125,532,1629012,Collin Sexton,1610612762,Utah Jazz,3,0,13,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,81,60,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300125,702,1629012,Collin Sexton,1610612762,Utah Jazz,4,2,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,29,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300125,736,1629012,Collin Sexton,1610612762,Utah Jazz,4,0,10,Made Shot,Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,8,1,1,20231101,UTA,MEM
Shot Chart Detail,0022300130,181,1629012,Collin Sexton,1610612762,Utah Jazz,1,2,15,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,59,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,189,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,15,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-62,41,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,388,1629012,Collin Sexton,1610612762,Utah Jazz,2,0,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300138,143,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,214,1,1,20231104,MIN,UTA
Shot Chart Detail,0022300152,131,1629012,Collin Sexton,1610612762,Utah Jazz,1,1,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20231106,CHI,UTA
Shot Chart Detail,0022300152,140,1629012,Collin Sexton,1610612762,Utah Jazz,1,0,27,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,26,1,1,20231106,CHI,UTA
Shot Chart Detail,0022300152,606,1629012,Collin Sexton,1610612762,Utah Jazz,4,3,33,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,1,1,1,20231106,CHI,UTA
Shot Chart Detail,0022300152,626,1629012,Collin Sexton,1610612762,Utah Jazz,4,1,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20231106,CHI,UTA
Shot Chart Detail,0022300152,636,1629012,Collin Sexton,1610612762,Utah Jazz,4,1,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20231106,CHI,UTA
Shot Chart Detail,0022300152,648,1629012,Collin Sexton,1610612762,Utah Jazz,4,0,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,1,20231106,CHI,UTA
Shot Chart Detail,0022300158,197,1629012,Collin Sexton,1610612762,Utah Jazz,2,8,53,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,71,54,1,1,20231108,IND,UTA
Shot Chart Detail,0022300158,476,1629012,Collin Sexton,1610612762,Utah Jazz,3,2,25,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,34,1,1,20231108,IND,UTA
Shot Chart Detail,0022300158,483,1629012,Collin Sexton,1610612762,Utah Jazz,3,1,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-205,172,1,1,20231108,IND,UTA
Shot Chart Detail,0022300214,128,1629012,Collin Sexton,1610612762,Utah Jazz,1,2,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,18,1,1,20231119,UTA,PHX
Shot Chart Detail,0022300214,507,1629012,Collin Sexton,1610612762,Utah Jazz,3,2,53,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,13,1,1,20231119,UTA,PHX
Shot Chart Detail,0022300214,566,1629012,Collin Sexton,1610612762,Utah Jazz,4,10,29,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-12,252,1,1,20231119,UTA,PHX
Shot Chart Detail,0022300214,599,1629012,Collin Sexton,1610612762,Utah Jazz,4,8,14,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,48,41,1,1,20231119,UTA,PHX
