GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600004,16,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,10,17,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,CHA,IND
Shot Chart Detail,0020600004,40,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,7,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,CHA,IND
Shot Chart Detail,0020600004,98,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,2,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,CHA,IND
Shot Chart Detail,0020600004,187,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,7,19,Made Shot,Turnaround Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,CHA,IND
Shot Chart Detail,0020600024,166,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,7,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,246,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,0,1,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,275,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,9,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,21,209,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,335,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,3,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600024,463,2222,Gerald Wallace,1610612766,Charlotte Bobcats,4,4,11,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,MEM,CHA
Shot Chart Detail,0020600032,3,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,11,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,CHA,CLE
Shot Chart Detail,0020600032,274,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,9,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-3,1,1,20061104,CHA,CLE
Shot Chart Detail,0020600032,328,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,4,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,CHA,CLE
Shot Chart Detail,0020600061,12,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,11,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-177,104,1,1,20061108,BOS,CHA
Shot Chart Detail,0020600061,192,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,6,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20061108,BOS,CHA
Shot Chart Detail,0020600061,543,2222,Gerald Wallace,1610612766,Charlotte Bobcats,4,0,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,15,1,1,20061108,BOS,CHA
Shot Chart Detail,0020600061,567,2222,Gerald Wallace,1610612766,Charlotte Bobcats,5,3,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,0,1,1,20061108,BOS,CHA
Shot Chart Detail,0020600075,53,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,5,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061110,CHA,SEA
Shot Chart Detail,0020600075,257,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,9,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061110,CHA,SEA
Shot Chart Detail,0020600075,306,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,4,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061110,CHA,SEA
Shot Chart Detail,0020600075,319,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,2,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061110,CHA,SEA
Shot Chart Detail,0020600075,433,2222,Gerald Wallace,1610612766,Charlotte Bobcats,4,3,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,138,196,1,1,20061110,CHA,SEA
Shot Chart Detail,0020600092,19,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,9,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,36,1,1,20061112,CHA,DEN
Shot Chart Detail,0020600092,134,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,11,28,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-61,30,1,1,20061112,CHA,DEN
Shot Chart Detail,0020600092,137,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,11,5,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061112,CHA,DEN
Shot Chart Detail,0020600092,187,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,7,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061112,CHA,DEN
Shot Chart Detail,0020600092,265,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,0,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-11,186,1,1,20061112,CHA,DEN
Shot Chart Detail,0020600092,273,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,11,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061112,CHA,DEN
Shot Chart Detail,0020600092,463,2222,Gerald Wallace,1610612766,Charlotte Bobcats,4,6,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061112,CHA,DEN
Shot Chart Detail,0020600114,58,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,5,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,5,1,1,20061115,SAS,CHA
Shot Chart Detail,0020600114,196,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,5,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,12,1,1,20061115,SAS,CHA
Shot Chart Detail,0020600114,307,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,4,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,10,1,1,20061115,SAS,CHA
Shot Chart Detail,0020600131,218,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,1,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061118,ORL,CHA
Shot Chart Detail,0020600144,18,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,10,4,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,32,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,8,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,54,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,5,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-158,105,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,211,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,4,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,336,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,6,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,358,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,3,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,369,2222,Gerald Wallace,1610612766,Charlotte Bobcats,3,2,17,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,447,2222,Gerald Wallace,1610612766,Charlotte Bobcats,4,7,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600144,484,2222,Gerald Wallace,1610612766,Charlotte Bobcats,4,2,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061120,CHA,DAL
Shot Chart Detail,0020600159,14,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,9,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061122,CHA,BOS
Shot Chart Detail,0020600159,52,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,6,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,190,122,1,1,20061122,CHA,BOS
Shot Chart Detail,0020600159,216,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,2,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-18,253,1,1,20061122,CHA,BOS
Shot Chart Detail,0020600159,226,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,1,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061122,CHA,BOS
