GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022200004,72,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,6,36,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-107,84,1,1,20221019,IND,WAS
Shot Chart Detail,0022200004,160,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,0,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,232,107,1,1,20221019,IND,WAS
Shot Chart Detail,0022200004,167,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,0,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-17,252,1,1,20221019,IND,WAS
Shot Chart Detail,0022200004,187,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,10,41,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,13,1,1,20221019,IND,WAS
Shot Chart Detail,0022200004,448,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,4,15,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,13,1,1,20221019,IND,WAS
Shot Chart Detail,0022200004,672,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,0,45,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,25,261,1,1,20221019,IND,WAS
Shot Chart Detail,0022200004,681,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,0,31,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,10,1,1,20221019,IND,WAS
Shot Chart Detail,0022200018,149,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,1,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,29,1,1,20221021,IND,SAS
Shot Chart Detail,0022200018,174,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,25,1,1,20221021,IND,SAS
Shot Chart Detail,0022200018,178,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-132,220,1,1,20221021,IND,SAS
Shot Chart Detail,0022200018,331,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,1,50,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,68,1,1,20221021,IND,SAS
Shot Chart Detail,0022200018,626,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,6,11,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,50,1,1,20221021,IND,SAS
Shot Chart Detail,0022200018,648,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,5,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,13,257,1,1,20221021,IND,SAS
Shot Chart Detail,0022200018,683,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,3,44,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-55,284,1,1,20221021,IND,SAS
Shot Chart Detail,0022200018,695,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,2,55,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20221021,IND,SAS
Shot Chart Detail,0022200029,260,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,6,30,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,142,241,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,320,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,2,55,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,354,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,1,13,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-56,34,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,367,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,0,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-13,59,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,519,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,2,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,211,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,533,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,1,56,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,221,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,551,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,0,38,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,6,250,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,566,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,11,37,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-7,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,633,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,6,5,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,46,1,1,20221022,IND,DET
Shot Chart Detail,0022200029,658,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,3,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-12,267,1,1,20221022,IND,DET
Shot Chart Detail,0022200044,509,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,2,18,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20221024,PHI,IND
Shot Chart Detail,0022200044,540,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,0,26,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,1,20221024,PHI,IND
Shot Chart Detail,0022200044,563,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,11,12,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,1,20221024,PHI,IND
Shot Chart Detail,0022200044,600,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,8,12,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-28,256,1,1,20221024,PHI,IND
Shot Chart Detail,0022200044,607,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,7,33,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20221024,PHI,IND
Shot Chart Detail,0022200044,643,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,5,1,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,9,1,1,20221024,PHI,IND
Shot Chart Detail,0022200061,90,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,4,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,1,20221026,CHI,IND
Shot Chart Detail,0022200061,214,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,10,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221026,CHI,IND
Shot Chart Detail,0022200061,631,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,5,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,4,1,1,20221026,CHI,IND
Shot Chart Detail,0022200074,184,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,40,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-77,258,1,1,20221028,WAS,IND
Shot Chart Detail,0022200074,351,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,0,43,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,43,1,1,20221028,WAS,IND
Shot Chart Detail,0022200074,355,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,0,25,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,34,1,1,20221028,WAS,IND
Shot Chart Detail,0022200074,447,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,4,27,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,10,49,1,1,20221028,WAS,IND
Shot Chart Detail,0022200083,119,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,3,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,14,1,1,20221029,BKN,IND
Shot Chart Detail,0022200083,134,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,2,0,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,39,262,1,1,20221029,BKN,IND
Shot Chart Detail,0022200083,235,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,21,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,22,1,1,20221029,BKN,IND
Shot Chart Detail,0022200083,293,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,3,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-145,201,1,1,20221029,BKN,IND
Shot Chart Detail,0022200083,329,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,0,48,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,132,211,1,1,20221029,BKN,IND
Shot Chart Detail,0022200083,346,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,11,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,28,1,1,20221029,BKN,IND
Shot Chart Detail,0022200083,644,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,2,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,225,49,1,1,20221029,BKN,IND
Shot Chart Detail,0022200083,665,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,1,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,16,1,1,20221029,BKN,IND
Shot Chart Detail,0022200098,178,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,99,243,1,1,20221031,BKN,IND
Shot Chart Detail,0022200098,456,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,4,19,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-17,42,1,1,20221031,BKN,IND
Shot Chart Detail,0022200098,470,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,3,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,16,1,1,20221031,BKN,IND
Shot Chart Detail,0022200098,521,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,1,3,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,1,269,1,1,20221031,BKN,IND
Shot Chart Detail,0022200098,526,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,0,28,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,20,1,1,20221031,BKN,IND
Shot Chart Detail,0022200098,680,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,1,43,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-15,44,1,1,20221031,BKN,IND
Shot Chart Detail,0022200121,177,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,10,59,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,5,1,1,20221104,IND,MIA
Shot Chart Detail,0022200121,308,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,2,32,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-104,251,1,1,20221104,IND,MIA
Shot Chart Detail,0022200121,433,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,3,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-6,1,1,20221104,IND,MIA
Shot Chart Detail,0022200121,498,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,11,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,215,1,1,20221104,IND,MIA
Shot Chart Detail,0022200121,530,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,8,47,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,30,143,272,1,1,20221104,IND,MIA
Shot Chart Detail,0022200147,380,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,6,11,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,1,20221107,IND,NOP
Shot Chart Detail,0022200147,432,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,3,4,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-86,257,1,1,20221107,IND,NOP
Shot Chart Detail,0022200160,99,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,5,16,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,91,249,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,116,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,3,52,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,25,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,184,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,33,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,72,57,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,187,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,11,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,136,206,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,206,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,9,26,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,143,212,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,210,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-21,263,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,223,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,4,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,39,246,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,273,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,4,56,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,545,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,10,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,24,1,1,20221109,IND,DEN
Shot Chart Detail,0022200160,556,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,9,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-118,239,1,1,20221109,IND,DEN
Shot Chart Detail,0022200187,506,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,3,22,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-81,243,1,1,20221112,IND,TOR
Shot Chart Detail,0022200187,528,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,1,24,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,176,1,1,20221112,IND,TOR
Shot Chart Detail,0022200187,598,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,8,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,5,1,1,20221112,IND,TOR
Shot Chart Detail,0022200187,606,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,7,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,218,130,1,1,20221112,IND,TOR
Shot Chart Detail,0022200211,179,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,10,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,4,1,1,20221116,CHA,IND
Shot Chart Detail,0022200211,186,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,10,26,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,10,95,1,1,20221116,CHA,IND
Shot Chart Detail,0022200211,197,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,9,57,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,40,1,1,20221116,CHA,IND
Shot Chart Detail,0022200211,208,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,9,9,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,10,84,1,1,20221116,CHA,IND
Shot Chart Detail,0022200211,533,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,11,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,40,46,1,1,20221116,CHA,IND
Shot Chart Detail,0022200211,536,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,10,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,27,158,1,1,20221116,CHA,IND
Shot Chart Detail,0022200211,541,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,10,13,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221116,CHA,IND
Shot Chart Detail,0022200228,165,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,0,13,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,44,1,1,20221118,HOU,IND
Shot Chart Detail,0022200228,225,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,22,1,1,20221118,HOU,IND
Shot Chart Detail,0022200228,228,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,7,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,9,1,1,20221118,HOU,IND
Shot Chart Detail,0022200228,324,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,2,32,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,-2,1,1,20221118,HOU,IND
Shot Chart Detail,0022200236,106,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,3,29,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-123,253,1,1,20221119,IND,ORL
Shot Chart Detail,0022200236,156,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-11,267,1,1,20221119,IND,ORL
Shot Chart Detail,0022200236,463,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,2,55,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20221119,IND,ORL
Shot Chart Detail,0022200236,541,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,8,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-4,1,1,20221119,IND,ORL
Shot Chart Detail,0022200249,82,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,6,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,10,1,1,20221121,IND,ORL
Shot Chart Detail,0022200249,97,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,5,4,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-3,1,1,20221121,IND,ORL
Shot Chart Detail,0022200249,206,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,58,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20221121,IND,ORL
Shot Chart Detail,0022200249,228,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,7,25,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221121,IND,ORL
Shot Chart Detail,0022200249,461,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,3,53,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-124,235,1,1,20221121,IND,ORL
Shot Chart Detail,0022200249,594,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,7,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,14,1,1,20221121,IND,ORL
Shot Chart Detail,0022200262,125,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,2,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,6,1,1,20221123,IND,MIN
Shot Chart Detail,0022200262,156,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,0,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-4,1,1,20221123,IND,MIN
Shot Chart Detail,0022200262,173,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,85,194,1,1,20221123,IND,MIN
Shot Chart Detail,0022200262,190,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,10,23,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,11,1,1,20221123,IND,MIN
Shot Chart Detail,0022200262,289,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,4,6,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,22,1,1,20221123,IND,MIN
Shot Chart Detail,0022200276,168,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,18,1,1,20221125,IND,BKN
Shot Chart Detail,0022200276,214,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,10,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,28,1,1,20221125,IND,BKN
Shot Chart Detail,0022200276,512,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,10,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-232,82,1,1,20221125,IND,BKN
Shot Chart Detail,0022200276,534,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,8,53,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,30,1,1,20221125,IND,BKN
Shot Chart Detail,0022200276,545,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,8,29,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,21,1,1,20221125,IND,BKN
Shot Chart Detail,0022200276,551,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,4,7,41,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,9,1,1,20221125,IND,BKN
Shot Chart Detail,0022200292,85,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,5,9,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,20,1,1,20221127,LAC,IND
Shot Chart Detail,0022200292,176,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,11,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,27,1,1,20221127,LAC,IND
Shot Chart Detail,0022200292,194,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,10,33,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,156,207,1,1,20221127,LAC,IND
Shot Chart Detail,0022200292,472,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,3,2,46,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20221127,LAC,IND
Shot Chart Detail,0022200308,173,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,1,0,32,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,15,-80,128,1,1,20221128,LAL,IND
Shot Chart Detail,0022200308,213,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,10,31,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,107,252,1,1,20221128,LAL,IND
Shot Chart Detail,0022200308,243,1631097,Bennedict Mathurin,1610612754,Indiana Pacers,2,8,48,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,27,1,1,20221128,LAL,IND
