GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600001,7,204001,Kristaps Porziņģis,1610612752,New York Knicks,1,11,15,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-1,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600001,238,204001,Kristaps Porziņģis,1610612752,New York Knicks,2,5,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-122,210,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600001,339,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,9,54,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600001,415,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,2,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-38,277,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600001,421,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,1,5,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,81,232,1,1,20161025,CLE,NYK
Shot Chart Detail,0021600028,3,204001,Kristaps Porziņģis,1610612752,New York Knicks,1,11,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,-10,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,74,204001,Kristaps Porziņģis,1610612752,New York Knicks,1,4,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,153,204001,Kristaps Porziņģis,1610612752,New York Knicks,2,10,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,171,204001,Kristaps Porziņģis,1610612752,New York Knicks,2,8,55,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,28,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,197,204001,Kristaps Porziņģis,1610612752,New York Knicks,2,6,34,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,14,33,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,337,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,7,5,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600028,480,204001,Kristaps Porziņģis,1610612752,New York Knicks,4,6,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,181,160,1,1,20161029,NYK,MEM
Shot Chart Detail,0021600050,190,204001,Kristaps Porziņģis,1610612752,New York Knicks,2,6,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,210,204001,Kristaps Porziņģis,1610612752,New York Knicks,2,4,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-2,75,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,280,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,9,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,283,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,9,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,204,156,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,310,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,6,26,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-81,36,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,315,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,5,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,99,249,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,350,204001,Kristaps Porziņģis,1610612752,New York Knicks,3,2,52,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20161101,DET,NYK
Shot Chart Detail,0021600073,43,204001,Kristaps Porziņģis,1610612752,New York Knicks,1,8,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,137,208,1,1,20161104,CHI,NYK
