GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022300020,83,1631094,Paolo Banchero,1610612753,Orlando Magic,1,5,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,135,30,1,1,20231114,BKN,ORL
Shot Chart Detail,0022300020,256,1631094,Paolo Banchero,1610612753,Orlando Magic,2,5,28,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,1,251,1,1,20231114,BKN,ORL
Shot Chart Detail,0022300020,292,1631094,Paolo Banchero,1610612753,Orlando Magic,2,3,6,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,145,211,1,1,20231114,BKN,ORL
Shot Chart Detail,0022300020,302,1631094,Paolo Banchero,1610612753,Orlando Magic,2,1,20,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-87,236,1,1,20231114,BKN,ORL
Shot Chart Detail,0022300020,426,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,98,233,1,1,20231114,BKN,ORL
Shot Chart Detail,0022300020,596,1631094,Paolo Banchero,1610612753,Orlando Magic,4,3,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-6,144,1,1,20231114,BKN,ORL
Shot Chart Detail,0022300033,80,1631094,Paolo Banchero,1610612753,Orlando Magic,1,5,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,5,1,1,20231117,CHI,ORL
Shot Chart Detail,0022300033,106,1631094,Paolo Banchero,1610612753,Orlando Magic,1,3,13,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231117,CHI,ORL
Shot Chart Detail,0022300033,109,1631094,Paolo Banchero,1610612753,Orlando Magic,1,2,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,26,80,1,1,20231117,CHI,ORL
Shot Chart Detail,0022300033,348,1631094,Paolo Banchero,1610612753,Orlando Magic,3,10,18,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,30,1,1,20231117,CHI,ORL
Shot Chart Detail,0022300033,388,1631094,Paolo Banchero,1610612753,Orlando Magic,3,6,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20231117,CHI,ORL
Shot Chart Detail,0022300033,431,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20231117,CHI,ORL
Shot Chart Detail,0022300038,105,1631094,Paolo Banchero,1610612753,Orlando Magic,1,3,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,18,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,108,1631094,Paolo Banchero,1610612753,Orlando Magic,1,3,1,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,247,1631094,Paolo Banchero,1610612753,Orlando Magic,2,4,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-135,71,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,272,1631094,Paolo Banchero,1610612753,Orlando Magic,2,2,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,87,105,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,283,1631094,Paolo Banchero,1610612753,Orlando Magic,2,1,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-152,239,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,324,1631094,Paolo Banchero,1610612753,Orlando Magic,3,10,51,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-21,119,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,410,1631094,Paolo Banchero,1610612753,Orlando Magic,3,5,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,4,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,447,1631094,Paolo Banchero,1610612753,Orlando Magic,3,2,50,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-108,237,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,451,1631094,Paolo Banchero,1610612753,Orlando Magic,3,2,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,5,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300038,547,1631094,Paolo Banchero,1610612753,Orlando Magic,4,8,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,158,14,1,1,20231121,ORL,TOR
Shot Chart Detail,0022300043,23,1631094,Paolo Banchero,1610612753,Orlando Magic,1,9,43,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,1,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,78,1631094,Paolo Banchero,1610612753,Orlando Magic,1,5,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,151,235,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,286,1631094,Paolo Banchero,1610612753,Orlando Magic,2,3,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,17,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,356,1631094,Paolo Banchero,1610612753,Orlando Magic,3,10,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-33,169,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,409,1631094,Paolo Banchero,1610612753,Orlando Magic,3,5,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,116,218,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,446,1631094,Paolo Banchero,1610612753,Orlando Magic,3,3,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,6,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,463,1631094,Paolo Banchero,1610612753,Orlando Magic,3,2,11,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-36,69,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,588,1631094,Paolo Banchero,1610612753,Orlando Magic,4,5,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-8,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,646,1631094,Paolo Banchero,1610612753,Orlando Magic,4,2,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,42,155,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300043,664,1631094,Paolo Banchero,1610612753,Orlando Magic,4,0,37,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,26,1,1,20231124,ORL,BOS
Shot Chart Detail,0022300066,272,1631094,Paolo Banchero,1610612753,Orlando Magic,2,3,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,37,1,1,20231025,ORL,HOU
Shot Chart Detail,0022300066,371,1631094,Paolo Banchero,1610612753,Orlando Magic,3,6,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,18,163,1,1,20231025,ORL,HOU
Shot Chart Detail,0022300066,577,1631094,Paolo Banchero,1610612753,Orlando Magic,4,6,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20231025,ORL,HOU
Shot Chart Detail,0022300086,8,1631094,Paolo Banchero,1610612753,Orlando Magic,1,11,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,4,1,1,20231027,POR,ORL
Shot Chart Detail,0022300086,51,1631094,Paolo Banchero,1610612753,Orlando Magic,1,7,10,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,5,1,1,20231027,POR,ORL
Shot Chart Detail,0022300086,107,1631094,Paolo Banchero,1610612753,Orlando Magic,1,3,24,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,-10,1,1,20231027,POR,ORL
Shot Chart Detail,0022300086,300,1631094,Paolo Banchero,1610612753,Orlando Magic,2,1,16,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,1,20231027,POR,ORL
Shot Chart Detail,0022300086,356,1631094,Paolo Banchero,1610612753,Orlando Magic,3,9,1,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-126,86,1,1,20231027,POR,ORL
Shot Chart Detail,0022300111,86,1631094,Paolo Banchero,1610612753,Orlando Magic,1,6,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,27,1,1,20231030,LAL,ORL
Shot Chart Detail,0022300111,362,1631094,Paolo Banchero,1610612753,Orlando Magic,3,10,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,16,1,1,20231030,LAL,ORL
Shot Chart Detail,0022300111,430,1631094,Paolo Banchero,1610612753,Orlando Magic,3,5,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-162,205,1,1,20231030,LAL,ORL
Shot Chart Detail,0022300111,443,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,15,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,91,122,1,1,20231030,LAL,ORL
Shot Chart Detail,0022300114,320,1631094,Paolo Banchero,1610612753,Orlando Magic,2,2,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,48,1,1,20231031,LAC,ORL
Shot Chart Detail,0022300114,338,1631094,Paolo Banchero,1610612753,Orlando Magic,2,0,44,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,43,109,1,1,20231031,LAC,ORL
Shot Chart Detail,0022300114,462,1631094,Paolo Banchero,1610612753,Orlando Magic,3,2,59,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,13,1,1,20231031,LAC,ORL
Shot Chart Detail,0022300114,566,1631094,Paolo Banchero,1610612753,Orlando Magic,4,8,26,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,53,1,1,20231031,LAC,ORL
Shot Chart Detail,0022300114,594,1631094,Paolo Banchero,1610612753,Orlando Magic,4,6,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,1,20231031,LAC,ORL
Shot Chart Detail,0022300130,140,1631094,Paolo Banchero,1610612753,Orlando Magic,1,4,11,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,15,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,174,1631094,Paolo Banchero,1610612753,Orlando Magic,1,2,33,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,23,37,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,338,1631094,Paolo Banchero,1610612753,Orlando Magic,2,3,51,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,26,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,370,1631094,Paolo Banchero,1610612753,Orlando Magic,2,1,47,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,5,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,490,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,26,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-51,33,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,507,1631094,Paolo Banchero,1610612753,Orlando Magic,3,3,43,Made Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,39,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,653,1631094,Paolo Banchero,1610612753,Orlando Magic,4,5,29,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-164,211,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,712,1631094,Paolo Banchero,1610612753,Orlando Magic,4,2,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,15,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300130,738,1631094,Paolo Banchero,1610612753,Orlando Magic,4,0,14,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-29,55,1,1,20231102,UTA,ORL
Shot Chart Detail,0022300134,18,1631094,Paolo Banchero,1610612753,Orlando Magic,1,10,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,86,1631094,Paolo Banchero,1610612753,Orlando Magic,1,6,11,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,21,247,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,108,1631094,Paolo Banchero,1610612753,Orlando Magic,1,4,41,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-93,239,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,113,1631094,Paolo Banchero,1610612753,Orlando Magic,1,4,5,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,116,151,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,122,1631094,Paolo Banchero,1610612753,Orlando Magic,1,3,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,16,30,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,274,1631094,Paolo Banchero,1610612753,Orlando Magic,2,4,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,5,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,340,1631094,Paolo Banchero,1610612753,Orlando Magic,3,10,35,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,8,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,426,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,18,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300134,433,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,1,20231104,ORL,LAL
Shot Chart Detail,0022300147,15,1631094,Paolo Banchero,1610612753,Orlando Magic,1,10,43,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,80,27,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300147,103,1631094,Paolo Banchero,1610612753,Orlando Magic,1,4,28,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,16,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300147,128,1631094,Paolo Banchero,1610612753,Orlando Magic,1,2,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,23,95,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300147,284,1631094,Paolo Banchero,1610612753,Orlando Magic,2,4,25,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-81,10,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300147,296,1631094,Paolo Banchero,1610612753,Orlando Magic,2,3,24,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,20,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300147,312,1631094,Paolo Banchero,1610612753,Orlando Magic,2,2,22,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,26,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300147,381,1631094,Paolo Banchero,1610612753,Orlando Magic,3,8,41,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-26,36,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300147,669,1631094,Paolo Banchero,1610612753,Orlando Magic,4,1,40,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,102,-1,1,1,20231106,ORL,DAL
Shot Chart Detail,0022300172,19,1631094,Paolo Banchero,1610612753,Orlando Magic,1,10,26,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,80,246,1,1,20231109,ORL,ATL
Shot Chart Detail,0022300172,45,1631094,Paolo Banchero,1610612753,Orlando Magic,1,8,19,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20231109,ORL,ATL
Shot Chart Detail,0022300172,90,1631094,Paolo Banchero,1610612753,Orlando Magic,1,5,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,19,1,1,20231109,ORL,ATL
Shot Chart Detail,0022300172,303,1631094,Paolo Banchero,1610612753,Orlando Magic,2,4,54,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,26,1,1,20231109,ORL,ATL
Shot Chart Detail,0022300172,476,1631094,Paolo Banchero,1610612753,Orlando Magic,3,5,36,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,5,1,1,20231109,ORL,ATL
Shot Chart Detail,0022300172,651,1631094,Paolo Banchero,1610612753,Orlando Magic,4,6,17,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,109,29,1,1,20231109,ORL,ATL
Shot Chart Detail,0022300172,687,1631094,Paolo Banchero,1610612753,Orlando Magic,4,3,34,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,5,1,1,20231109,ORL,ATL
Shot Chart Detail,0022300173,57,1631094,Paolo Banchero,1610612753,Orlando Magic,1,7,54,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-27,117,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,85,1631094,Paolo Banchero,1610612753,Orlando Magic,1,5,21,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-44,58,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,92,1631094,Paolo Banchero,1610612753,Orlando Magic,1,4,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,126,128,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,293,1631094,Paolo Banchero,1610612753,Orlando Magic,2,4,11,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,21,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,297,1631094,Paolo Banchero,1610612753,Orlando Magic,2,3,37,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-94,160,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,409,1631094,Paolo Banchero,1610612753,Orlando Magic,3,9,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,21,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,414,1631094,Paolo Banchero,1610612753,Orlando Magic,3,9,9,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-45,243,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,488,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,0,248,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,636,1631094,Paolo Banchero,1610612753,Orlando Magic,4,7,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,116,89,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300173,707,1631094,Paolo Banchero,1610612753,Orlando Magic,4,1,44,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,1,20231111,ORL,MIL
Shot Chart Detail,0022300196,368,1631094,Paolo Banchero,1610612753,Orlando Magic,3,9,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,198,1,1,20231115,CHI,ORL
Shot Chart Detail,0022300196,616,1631094,Paolo Banchero,1610612753,Orlando Magic,4,2,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,10,1,1,20231115,CHI,ORL
Shot Chart Detail,0022300196,620,1631094,Paolo Banchero,1610612753,Orlando Magic,4,2,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,2,240,1,1,20231115,CHI,ORL
Shot Chart Detail,0022300196,668,1631094,Paolo Banchero,1610612753,Orlando Magic,4,0,1,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,7,77,1,1,20231115,CHI,ORL
Shot Chart Detail,0022300209,41,1631094,Paolo Banchero,1610612753,Orlando Magic,1,8,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-2,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,85,1631094,Paolo Banchero,1610612753,Orlando Magic,1,5,19,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-21,104,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,222,1631094,Paolo Banchero,1610612753,Orlando Magic,2,9,39,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,269,1631094,Paolo Banchero,1610612753,Orlando Magic,2,6,47,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,4,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,357,1631094,Paolo Banchero,1610612753,Orlando Magic,2,2,4,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,6,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,361,1631094,Paolo Banchero,1610612753,Orlando Magic,2,1,33,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,129,142,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,364,1631094,Paolo Banchero,1610612753,Orlando Magic,2,1,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,439,1631094,Paolo Banchero,1610612753,Orlando Magic,3,8,44,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,5,1,1,20231119,IND,ORL
Shot Chart Detail,0022300209,505,1631094,Paolo Banchero,1610612753,Orlando Magic,3,4,18,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20231119,IND,ORL
Shot Chart Detail,0022300226,34,1631094,Paolo Banchero,1610612753,Orlando Magic,1,8,31,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,76,24,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300226,49,1631094,Paolo Banchero,1610612753,Orlando Magic,1,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,253,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300226,105,1631094,Paolo Banchero,1610612753,Orlando Magic,1,2,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,21,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300226,247,1631094,Paolo Banchero,1610612753,Orlando Magic,2,4,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,13,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300226,344,1631094,Paolo Banchero,1610612753,Orlando Magic,3,9,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,157,210,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300226,373,1631094,Paolo Banchero,1610612753,Orlando Magic,3,6,50,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,163,217,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300226,619,1631094,Paolo Banchero,1610612753,Orlando Magic,4,3,36,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,20,60,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300226,638,1631094,Paolo Banchero,1610612753,Orlando Magic,4,1,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,151,233,1,1,20231122,ORL,DEN
Shot Chart Detail,0022300248,9,1631094,Paolo Banchero,1610612753,Orlando Magic,1,11,35,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,11,89,1,1,20231126,ORL,CHA
