GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021500016,3,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,8,1,1,20151028,SAC,LAC
Shot Chart Detail,0021500016,253,200752,Rudy Gay,1610612758,Sacramento Kings,2,2,38,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20151028,SAC,LAC
Shot Chart Detail,0021500016,307,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,89,121,1,1,20151028,SAC,LAC
Shot Chart Detail,0021500016,356,200752,Rudy Gay,1610612758,Sacramento Kings,3,6,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151028,SAC,LAC
Shot Chart Detail,0021500016,508,200752,Rudy Gay,1610612758,Sacramento Kings,4,6,51,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,80,1,1,20151028,SAC,LAC
Shot Chart Detail,0021500016,525,200752,Rudy Gay,1610612758,Sacramento Kings,4,4,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,180,1,1,20151028,SAC,LAC
Shot Chart Detail,0021500016,578,200752,Rudy Gay,1610612758,Sacramento Kings,4,0,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,182,70,1,1,20151028,SAC,LAC
Shot Chart Detail,0021500031,4,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,24,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,156,46,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,20,200752,Rudy Gay,1610612758,Sacramento Kings,1,9,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,117,120,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,42,200752,Rudy Gay,1610612758,Sacramento Kings,1,7,45,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,19,26,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,89,200752,Rudy Gay,1610612758,Sacramento Kings,1,4,22,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,22,70,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,178,200752,Rudy Gay,1610612758,Sacramento Kings,2,9,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,9,267,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,343,200752,Rudy Gay,1610612758,Sacramento Kings,3,9,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,23,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,355,200752,Rudy Gay,1610612758,Sacramento Kings,3,8,40,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,43,193,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500031,489,200752,Rudy Gay,1610612758,Sacramento Kings,4,8,47,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,SAC,LAL
Shot Chart Detail,0021500038,3,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-233,61,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500038,141,200752,Rudy Gay,1610612758,Sacramento Kings,1,0,1,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-165,106,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500038,163,200752,Rudy Gay,1610612758,Sacramento Kings,2,10,4,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-84,51,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500038,189,200752,Rudy Gay,1610612758,Sacramento Kings,2,8,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500038,225,200752,Rudy Gay,1610612758,Sacramento Kings,2,6,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500038,392,200752,Rudy Gay,1610612758,Sacramento Kings,3,9,9,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-58,77,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500038,570,200752,Rudy Gay,1610612758,Sacramento Kings,4,6,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-178,180,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500038,603,200752,Rudy Gay,1610612758,Sacramento Kings,4,3,31,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,51,1,1,20151031,LAC,SAC
Shot Chart Detail,0021500058,38,200752,Rudy Gay,1610612758,Sacramento Kings,1,6,30,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,18,1,1,20151103,SAC,MEM
Shot Chart Detail,0021500058,63,200752,Rudy Gay,1610612758,Sacramento Kings,1,3,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-96,111,1,1,20151103,SAC,MEM
Shot Chart Detail,0021500058,90,200752,Rudy Gay,1610612758,Sacramento Kings,1,0,57,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-76,31,1,1,20151103,SAC,MEM
Shot Chart Detail,0021500058,293,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,37,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-68,116,1,1,20151103,SAC,MEM
Shot Chart Detail,0021500058,319,200752,Rudy Gay,1610612758,Sacramento Kings,3,9,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,11,1,1,20151103,SAC,MEM
Shot Chart Detail,0021500058,492,200752,Rudy Gay,1610612758,Sacramento Kings,4,7,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,16,1,1,20151103,SAC,MEM
Shot Chart Detail,0021500058,515,200752,Rudy Gay,1610612758,Sacramento Kings,4,5,13,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-37,95,1,1,20151103,SAC,MEM
Shot Chart Detail,0021500067,40,200752,Rudy Gay,1610612758,Sacramento Kings,1,7,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,15,100,1,1,20151104,PHX,SAC
Shot Chart Detail,0021500067,212,200752,Rudy Gay,1610612758,Sacramento Kings,2,3,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-5,1,1,20151104,PHX,SAC
Shot Chart Detail,0021500067,278,200752,Rudy Gay,1610612758,Sacramento Kings,3,10,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-9,159,1,1,20151104,PHX,SAC
Shot Chart Detail,0021500067,291,200752,Rudy Gay,1610612758,Sacramento Kings,3,8,33,Made Shot,Running Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,PHX,SAC
Shot Chart Detail,0021500084,33,200752,Rudy Gay,1610612758,Sacramento Kings,1,8,3,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,24,100,1,1,20151106,SAC,HOU
Shot Chart Detail,0021500084,376,200752,Rudy Gay,1610612758,Sacramento Kings,3,4,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-7,61,1,1,20151106,SAC,HOU
Shot Chart Detail,0021500084,496,200752,Rudy Gay,1610612758,Sacramento Kings,4,7,46,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151106,SAC,HOU
Shot Chart Detail,0021500084,517,200752,Rudy Gay,1610612758,Sacramento Kings,4,5,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,11,1,1,20151106,SAC,HOU
Shot Chart Detail,0021500084,572,200752,Rudy Gay,1610612758,Sacramento Kings,4,0,47,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-37,77,1,1,20151106,SAC,HOU
Shot Chart Detail,0021500092,7,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,35,242,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,174,200752,Rudy Gay,1610612758,Sacramento Kings,2,8,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,14,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,193,200752,Rudy Gay,1610612758,Sacramento Kings,2,6,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,11,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,200,200752,Rudy Gay,1610612758,Sacramento Kings,2,5,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,101,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,237,200752,Rudy Gay,1610612758,Sacramento Kings,2,3,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,7,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,239,200752,Rudy Gay,1610612758,Sacramento Kings,2,2,29,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,20,82,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,310,200752,Rudy Gay,1610612758,Sacramento Kings,3,7,59,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-73,61,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,484,200752,Rudy Gay,1610612758,Sacramento Kings,4,4,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,61,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,528,200752,Rudy Gay,1610612758,Sacramento Kings,4,1,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,13,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500092,530,200752,Rudy Gay,1610612758,Sacramento Kings,4,0,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20151107,SAC,GSW
Shot Chart Detail,0021500103,19,200752,Rudy Gay,1610612758,Sacramento Kings,1,9,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,138,106,1,1,20151109,SAC,SAS
Shot Chart Detail,0021500103,249,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-86,159,1,1,20151109,SAC,SAS
Shot Chart Detail,0021500103,273,200752,Rudy Gay,1610612758,Sacramento Kings,3,10,11,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,9,1,1,20151109,SAC,SAS
Shot Chart Detail,0021500103,304,200752,Rudy Gay,1610612758,Sacramento Kings,3,7,7,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-140,0,1,1,20151109,SAC,SAS
Shot Chart Detail,0021500103,415,200752,Rudy Gay,1610612758,Sacramento Kings,4,8,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-107,21,1,1,20151109,SAC,SAS
Shot Chart Detail,0021500122,17,200752,Rudy Gay,1610612758,Sacramento Kings,1,9,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,128,174,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,31,200752,Rudy Gay,1610612758,Sacramento Kings,1,8,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,14,90,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,44,200752,Rudy Gay,1610612758,Sacramento Kings,1,6,47,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-55,65,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,50,200752,Rudy Gay,1610612758,Sacramento Kings,1,6,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-9,169,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,69,200752,Rudy Gay,1610612758,Sacramento Kings,1,4,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,244,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,164,200752,Rudy Gay,1610612758,Sacramento Kings,2,7,56,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,151,151,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,172,200752,Rudy Gay,1610612758,Sacramento Kings,2,6,20,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-112,165,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,216,200752,Rudy Gay,1610612758,Sacramento Kings,2,1,28,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,33,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,300,200752,Rudy Gay,1610612758,Sacramento Kings,3,4,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,132,129,1,1,20151111,SAC,DET
Shot Chart Detail,0021500122,343,200752,Rudy Gay,1610612758,Sacramento Kings,3,2,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-6,154,1,1,20151111,SAC,DET
Shot Chart Detail,0021500150,17,200752,Rudy Gay,1610612758,Sacramento Kings,1,9,55,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,31,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,24,200752,Rudy Gay,1610612758,Sacramento Kings,1,8,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-129,116,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,243,200752,Rudy Gay,1610612758,Sacramento Kings,2,3,25,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,11,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,274,200752,Rudy Gay,1610612758,Sacramento Kings,2,0,7,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,31,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,282,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,8,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,68,41,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,308,200752,Rudy Gay,1610612758,Sacramento Kings,3,8,8,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,315,200752,Rudy Gay,1610612758,Sacramento Kings,3,7,26,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,340,200752,Rudy Gay,1610612758,Sacramento Kings,3,4,38,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,434,200752,Rudy Gay,1610612758,Sacramento Kings,4,6,13,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500150,461,200752,Rudy Gay,1610612758,Sacramento Kings,4,2,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151115,SAC,TOR
Shot Chart Detail,0021500169,58,200752,Rudy Gay,1610612758,Sacramento Kings,1,6,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,2,1,1,20151118,ATL,SAC
Shot Chart Detail,0021500169,192,200752,Rudy Gay,1610612758,Sacramento Kings,2,5,49,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,6,65,1,1,20151118,ATL,SAC
Shot Chart Detail,0021500169,330,200752,Rudy Gay,1610612758,Sacramento Kings,3,7,25,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-63,56,1,1,20151118,ATL,SAC
Shot Chart Detail,0021500169,344,200752,Rudy Gay,1610612758,Sacramento Kings,3,6,21,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20151118,ATL,SAC
Shot Chart Detail,0021500169,543,200752,Rudy Gay,1610612758,Sacramento Kings,4,1,52,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151118,ATL,SAC
Shot Chart Detail,0021500175,46,200752,Rudy Gay,1610612758,Sacramento Kings,1,7,3,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151119,MIA,SAC
Shot Chart Detail,0021500175,66,200752,Rudy Gay,1610612758,Sacramento Kings,1,5,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,127,65,1,1,20151119,MIA,SAC
Shot Chart Detail,0021500175,107,200752,Rudy Gay,1610612758,Sacramento Kings,1,1,40,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-74,65,1,1,20151119,MIA,SAC
Shot Chart Detail,0021500175,220,200752,Rudy Gay,1610612758,Sacramento Kings,2,4,18,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,67,1,1,20151119,MIA,SAC
Shot Chart Detail,0021500175,278,200752,Rudy Gay,1610612758,Sacramento Kings,2,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,4,1,1,20151119,MIA,SAC
Shot Chart Detail,0021500175,324,200752,Rudy Gay,1610612758,Sacramento Kings,3,7,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,8,1,1,20151119,MIA,SAC
Shot Chart Detail,0021500202,32,200752,Rudy Gay,1610612758,Sacramento Kings,1,9,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,185,200752,Rudy Gay,1610612758,Sacramento Kings,2,6,57,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-73,41,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,196,200752,Rudy Gay,1610612758,Sacramento Kings,2,5,47,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,265,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-61,180,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,267,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,275,200752,Rudy Gay,1610612758,Sacramento Kings,3,10,39,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,286,200752,Rudy Gay,1610612758,Sacramento Kings,3,9,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,99,232,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,313,200752,Rudy Gay,1610612758,Sacramento Kings,3,5,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,26,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,342,200752,Rudy Gay,1610612758,Sacramento Kings,3,3,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,23,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,362,200752,Rudy Gay,1610612758,Sacramento Kings,3,2,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-81,115,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,527,200752,Rudy Gay,1610612758,Sacramento Kings,4,0,0,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,532,200752,Rudy Gay,1610612758,Sacramento Kings,5,4,40,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-55,70,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500202,600,200752,Rudy Gay,1610612758,Sacramento Kings,5,0,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,3,1,1,20151123,CHA,SAC
Shot Chart Detail,0021500221,10,200752,Rudy Gay,1610612758,Sacramento Kings,1,11,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,99,229,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,15,200752,Rudy Gay,1610612758,Sacramento Kings,1,10,33,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,25,136,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,26,200752,Rudy Gay,1610612758,Sacramento Kings,1,9,17,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,94,-19,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,56,200752,Rudy Gay,1610612758,Sacramento Kings,1,6,11,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,71,8,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,63,200752,Rudy Gay,1610612758,Sacramento Kings,1,5,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,79,200752,Rudy Gay,1610612758,Sacramento Kings,1,3,17,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,220,200752,Rudy Gay,1610612758,Sacramento Kings,2,1,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,31,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,250,200752,Rudy Gay,1610612758,Sacramento Kings,2,0,6,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,19,31,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,257,200752,Rudy Gay,1610612758,Sacramento Kings,3,11,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-183,67,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,261,200752,Rudy Gay,1610612758,Sacramento Kings,3,10,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,109,11,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,318,200752,Rudy Gay,1610612758,Sacramento Kings,3,4,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-11,149,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,440,200752,Rudy Gay,1610612758,Sacramento Kings,4,5,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500221,474,200752,Rudy Gay,1610612758,Sacramento Kings,4,3,29,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,13,1,1,20151125,MIL,SAC
Shot Chart Detail,0021500237,52,200752,Rudy Gay,1610612758,Sacramento Kings,1,5,35,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,169,85,1,1,20151127,SAC,MIN
Shot Chart Detail,0021500245,24,200752,Rudy Gay,1610612758,Sacramento Kings,1,8,54,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20151128,GSW,SAC
Shot Chart Detail,0021500245,42,200752,Rudy Gay,1610612758,Sacramento Kings,1,7,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,1,20151128,GSW,SAC
Shot Chart Detail,0021500245,111,200752,Rudy Gay,1610612758,Sacramento Kings,1,1,5,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,28,87,1,1,20151128,GSW,SAC
Shot Chart Detail,0021500245,157,200752,Rudy Gay,1610612758,Sacramento Kings,2,8,45,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,28,1,1,20151128,GSW,SAC
