GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100005,109,1628369,Jayson Tatum,1610612738,Boston Celtics,1,2,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,17,158,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,315,1628369,Jayson Tatum,1610612738,Boston Celtics,2,1,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,-10,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,325,1628369,Jayson Tatum,1610612738,Boston Celtics,2,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,33,206,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,355,1628369,Jayson Tatum,1610612738,Boston Celtics,3,11,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,26,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,385,1628369,Jayson Tatum,1610612738,Boston Celtics,3,8,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,40,250,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,729,1628369,Jayson Tatum,1610612738,Boston Celtics,5,2,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-21,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100005,801,1628369,Jayson Tatum,1610612738,Boston Celtics,6,1,5,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20211020,NYK,BOS
Shot Chart Detail,0022100020,54,1628369,Jayson Tatum,1610612738,Boston Celtics,1,8,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,225,48,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,58,1628369,Jayson Tatum,1610612738,Boston Celtics,1,7,47,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,21,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,69,1628369,Jayson Tatum,1610612738,Boston Celtics,1,6,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,162,212,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,79,1628369,Jayson Tatum,1610612738,Boston Celtics,1,5,56,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-75,76,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,322,1628369,Jayson Tatum,1610612738,Boston Celtics,2,1,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-200,108,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,331,1628369,Jayson Tatum,1610612738,Boston Celtics,2,1,10,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-98,79,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,341,1628369,Jayson Tatum,1610612738,Boston Celtics,2,0,1,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,60,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,365,1628369,Jayson Tatum,1610612738,Boston Celtics,3,9,55,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,83,77,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100037,9,1628369,Jayson Tatum,1610612738,Boston Celtics,1,11,42,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,21,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,28,1628369,Jayson Tatum,1610612738,Boston Celtics,1,9,40,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,148,159,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,34,1628369,Jayson Tatum,1610612738,Boston Celtics,1,8,45,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-121,0,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,41,1628369,Jayson Tatum,1610612738,Boston Celtics,1,7,37,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-112,65,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,140,1628369,Jayson Tatum,1610612738,Boston Celtics,1,0,53,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,31,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,144,1628369,Jayson Tatum,1610612738,Boston Celtics,1,0,5,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,13,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,282,1628369,Jayson Tatum,1610612738,Boston Celtics,2,2,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,12,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,290,1628369,Jayson Tatum,1610612738,Boston Celtics,2,1,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,190,183,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,351,1628369,Jayson Tatum,1610612738,Boston Celtics,3,8,21,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-98,224,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,371,1628369,Jayson Tatum,1610612738,Boston Celtics,3,6,20,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,190,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,573,1628369,Jayson Tatum,1610612738,Boston Celtics,4,5,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,4,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100037,580,1628369,Jayson Tatum,1610612738,Boston Celtics,4,4,49,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-70,106,1,1,20211024,HOU,BOS
Shot Chart Detail,0022100041,28,1628369,Jayson Tatum,1610612738,Boston Celtics,1,9,14,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,156,1628369,Jayson Tatum,1610612738,Boston Celtics,2,11,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,7,165,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,162,1628369,Jayson Tatum,1610612738,Boston Celtics,2,10,24,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,15,125,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,166,1628369,Jayson Tatum,1610612738,Boston Celtics,2,9,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-161,75,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,223,1628369,Jayson Tatum,1610612738,Boston Celtics,2,6,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,190,180,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,267,1628369,Jayson Tatum,1610612738,Boston Celtics,2,3,16,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,228,95,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,273,1628369,Jayson Tatum,1610612738,Boston Celtics,2,2,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-65,260,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,280,1628369,Jayson Tatum,1610612738,Boston Celtics,2,1,17,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-21,57,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,327,1628369,Jayson Tatum,1610612738,Boston Celtics,3,10,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,173,82,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,379,1628369,Jayson Tatum,1610612738,Boston Celtics,3,6,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,124,216,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,466,1628369,Jayson Tatum,1610612738,Boston Celtics,3,2,4,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,116,158,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,524,1628369,Jayson Tatum,1610612738,Boston Celtics,4,11,22,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-60,245,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,526,1628369,Jayson Tatum,1610612738,Boston Celtics,4,10,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-116,222,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100041,686,1628369,Jayson Tatum,1610612738,Boston Celtics,4,2,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,19,1,1,20211025,CHA,BOS
Shot Chart Detail,0022100056,76,1628369,Jayson Tatum,1610612738,Boston Celtics,1,6,14,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-21,57,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,134,1628369,Jayson Tatum,1610612738,Boston Celtics,1,2,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,21,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,267,1628369,Jayson Tatum,1610612738,Boston Celtics,2,4,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,36,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,353,1628369,Jayson Tatum,1610612738,Boston Celtics,3,11,12,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-63,14,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,365,1628369,Jayson Tatum,1610612738,Boston Celtics,3,9,38,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,48,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,402,1628369,Jayson Tatum,1610612738,Boston Celtics,3,6,33,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,71,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,414,1628369,Jayson Tatum,1610612738,Boston Celtics,3,5,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,23,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,484,1628369,Jayson Tatum,1610612738,Boston Celtics,3,1,49,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,39,43,1,1,20211027,BOS,WAS
Shot Chart Detail,0022100056,488,1628369,Jayson Tatum,1610612738,Boston Celtics,3,1,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,157,239,1,1,20211027,BOS,WAS
